"","TrueCoef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf","MCMC.mode"
"beta[1]",0,0,0,0,-0.0077979879017875,0.0909401569953639,NA,0.000551504472670922,0.6,27190,0.257323540744667,1.30439862339735,0
"beta[2]",0,0,0,0,-0.00061402078745,0.0240605372991161,NA,0.000157636219953933,0.7,23297,0.333108788766661,1.14737202599063,0
"beta[3]",0,0,0,0,0.013654390487125,0.150435927857896,NA,0.00242922721966124,1.6,3835,0.565948715648666,1.26865239162154,0
"beta[4]",0,0,0,0,-0.009751758491475,0.106249753925285,NA,0.000883193959025569,0.8,14473,0.360889520448859,1.3036785932967,0
"beta[5]",0,0,0,0,-0.007131800461125,0.0950728504631491,NA,0.0012680054594995,1.3,5622,0.587240769963664,1.09953583850428,0
"beta[6]",0,0,0,0,0.00048414596191625,0.0263461121280844,NA,0.000172433807805408,0.7,23345,0.385790022176394,1.20977740092622,0
"beta[7]",0,0,0,0,0.004176128229625,0.0544451982759117,NA,0.000509921084119186,0.9,11400,0.431067616537321,1.13462138544205,0
"beta[8]",0,0,0,1.58203,0.142567384583125,0.492355365665412,NA,0.00553101643401069,1.1,7924,0.613321785536578,1.54120885804178,0
"beta[9]",0,0,0,0,-0.000398936925425,0.018812208187675,NA,0.000200668361772846,1.1,8789,0.18941171840935,1.01447757535839,0
"beta[10]",0,0,0,0,-0.017493136881125,0.148421930617711,NA,0.00369235512696993,2.5,1616,0.824692781975927,1.14467947578314,0
"beta[11]",0,0,0,0.881361,0.0771360907482375,0.273919388374382,NA,0.00318116163565144,1.2,7414,0.469957640271998,1.53653595546873,0
"beta[12]",0,0,0,0,-0.00735391189662501,0.0880494499624718,NA,0.000748947453305052,0.9,13821,0.602295057680746,1.12060713692112,0
"beta[13]",0,0,0,0,-0.0021616239080375,0.0474195868669424,NA,0.000435303532384125,0.9,11867,0.262055174955191,1.26272090331541,0
"beta[14]",0,0,0,0,-0.003869005437,0.0600458264658702,NA,0.000386672535563129,0.6,24115,0.666698570649891,1.28216501620948,0
"beta[15]",0,0,0,0,0.000760336011375,0.0237518879031018,NA,0.000144073802871335,0.6,27179,0.352727969008858,1.13907041664199,0
"beta[16]",0,0,0,0,-0.001049690375375,0.0354841947917756,NA,0.000285802436008349,0.8,15415,0.668108237088376,1.14280647197499,0
"beta[17]",0,0,0,0,-0.00086636536635,0.0300353956640723,NA,0.000426426738755108,1.4,4961,0.401616902161925,1.04852422528216,0
"beta[18]",0,0,0,0,0.006115321160625,0.0730484959642757,NA,0.00106055257243013,1.5,4744,0.570035976496843,1.17013511062163,0
"beta[19]",0,0,0,0,0.000666703259,0.0433956528824986,NA,0.000430615739889243,1,10156,0.565079078938938,1.07830863732386,0
"beta[20]",0,0,0,0,0.000649138143625,0.0198871352511542,NA,0.00010696906564698,0.5,34564,0.299805095928855,1.22217823727128,0
"beta[21]",0,0,0,0,-0.000577037844375,0.0302383313790304,NA,0.000340845427553442,1.1,7870,0.318729369290287,1.07087860219821,0
"beta[22]",0,0,0,0,3.86550813749998e-05,0.0298767666258305,NA,0.000275701877521787,0.9,11743,0.363120140675088,1.09033009653501,0
"beta[23]",0,0,0,0,0.0002651441668125,0.0141877345293227,NA,0.000101297776319042,0.7,19617,0.138802725755874,1.00908205251308,0
"beta[24]",0,0,0,0,-0.000796313979125,0.0330540517442372,NA,0.000364501699489914,1.1,8223,0.524113462604604,1.18719228230201,0
"beta[25]",-15.3326176443502,-11.5943,-3.012405,0,-4.54275360074962,4.76582413673683,NA,0.0821639311471056,1.7,3364,0.717579854582246,9.82083012465714,-10.2811473044679
"beta[26]",0,0,0,0,-0.0001436978135125,0.0254693808890203,NA,0.000269747873589674,1.1,8915,0.32797852906672,1.07961562450034,0
"beta[27]",0,0,0,0,0.000370174705875,0.0368561142594386,NA,0.000247786679361667,0.7,22124,0.302951030866374,1.15625723479761,0
"beta[28]",0,0,0,0,0.000946423431625,0.036359139409987,NA,0.000454600629709065,1.3,6397,0.357141618533599,1.08295588085596,0
"beta[29]",0,0,0,0,0.050792783672625,0.286389409792739,NA,0.00256622404024919,0.9,12454,0.278649743330222,1.37060353786958,0
"beta[30]",0,0,0,0,-0.01130093684325,0.0960519820372687,NA,0.000865066457777246,0.9,12329,0.340881105072393,1.31447187046336,0
"beta[31]",0,0,0,0,0.001196995623375,0.0291478102160353,NA,0.000245123386924297,0.8,14140,0.341089371275166,1.15854287038543,0
"beta[32]",0,0,0,0,0.0001390821091375,0.0194992946339364,NA,0.000195157681765393,1,9983,0.108118097640025,1.04893410028113,0
"beta[33]",0,0,0,0,0.00104550430920375,0.0384358941781781,NA,0.000356277880222029,0.9,11638,0.536321599428464,1.14129166782346,0
"beta[34]",0,0,0,0,0.001027467479,0.0386926754687037,NA,0.000517212180793432,1.3,5597,0.448113638750622,1.10917143962348,0
"beta[35]",0,0,0,0,-0.0036412725367125,0.0740942529007347,NA,0.000688503891924988,0.9,11581,0.634842316882722,1.2436514103982,0
"beta[36]",0,0,0,0,-0.009201026315875,0.10065778194387,NA,0.00111835235992983,1.1,8101,0.643908121943977,1.28569800460412,0
"beta[37]",0,0,0,0,-0.000550306648375,0.0299266819028549,NA,0.000313901802976698,1,9089,0.188337633975696,1.06743519598566,0
"beta[38]",0,0,0,0,-1.60705866975001e-05,0.0219930352684872,NA,0.000171815663940136,0.8,16385,0.268094763075321,1.04436616147871,0
"beta[39]",0,0,0,0,0.0061421523615,0.0753275920460131,NA,0.000893157010800707,1.2,7113,0.459344101619627,1.18792622499051,0
"beta[40]",0,0,0,0,4.132321975e-05,0.0183699988352228,NA,0.00015129754904272,0.8,14742,0.0281990342237803,1.01614847942547,0
"beta[41]",0,0,0,0,-0.000897040519125,0.0338207594088661,NA,0.000613293147580245,1.8,3041,0.482498790053292,1.00794273404844,0
"beta[42]",0,0,0,0,0.000109612447125,0.0385468787530135,NA,0.000383651245980779,1,10095,0.440130463105041,1.11848844262824,0
"beta[43]",5.94834479016668,0,0,3.23746,0.627234402442312,1.13975613286592,NA,0.0125127462134928,1.1,8297,0.482010347880729,3.22889854997009,0
"beta[44]",0,0,0,0,-0.000929814440999999,0.0345728554703738,NA,0.000474283623773791,1.4,5314,0.351482187312572,1.12849070670688,0
"beta[45]",0,0,0,0,-0.0011801543801875,0.0277510469992633,NA,0.000303702840870881,1.1,8350,0.329657189705346,1.09243812752632,0
"beta[46]",0,0,0,0,0.005880135805,0.0852183795252557,NA,0.00254429130670875,3,1122,0.758104724208057,1.08730037816941,0
"beta[47]",0,0,0,0,0.01307666390605,0.130394447070009,NA,0.00110242965113078,0.8,13990,0.414768117948247,1.29868797628496,0
"beta[48]",0,0,0,0,-0.001405274798125,0.0354854458551842,NA,0.000313689563826054,0.9,12797,0.422100248298795,1.1261819390449,0
"beta[49]",0,0,0,0,0.004468847800625,0.0676336686409073,NA,0.000586059673889077,0.9,13318,0.407684019075725,1.26318945193398,0
"beta[50]",0,0,0,0,0.011685854270875,0.114327901575719,NA,0.00100419115928643,0.9,12962,0.559910382131398,1.24703611906972,0
"beta[51]",0,0,0,0,0.0001909043232225,0.0235425042594159,NA,0.000216190764335389,0.9,11859,0.289246442716246,1.06143010323177,0
"beta[52]",0,0,0,0,-0.047981147536125,0.243806926364978,NA,0.00351452147824479,1.4,4812,0.50607852993233,1.37840170758784,0
"beta[53]",0,0,0,0,-0.00323698675975,0.050305300148506,NA,0.000358315770281306,0.7,19710,0.481217134773643,1.27078833250286,0
"beta[54]",0,0,0,0,0.0126003395695625,0.125689736154003,NA,0.000934601708460913,0.7,18086,0.457236671107148,1.26124199267504,0
"beta[55]",0,0,0,0,8.22383429250003e-05,0.0234587947161368,NA,0.000179502825437846,0.8,17079,0.133001458317442,1.07125742992279,0
"beta[56]",0,-2.90895,0,0.000270452,-0.293922524827075,0.873298171030474,NA,0.0089248905046069,1,9575,0.515214694708701,1.67398275392841,0
"beta[57]",0,0,0,0,0.00088052853405,0.0245504522203976,NA,0.000219426405455349,0.9,12518,0.270006909284149,1.06471567011177,0
"beta[58]",-0.105089162167139,0,0,2.93097,0.558787539138225,1.04635044758153,NA,0.0108921803235233,1,9228,0.467014646909437,4.0679558240822,0
"beta[59]",0,0,0,0,-0.002178162264375,0.047260563304897,NA,0.000566309529432547,1.2,6965,0.370695453113875,1.23164466959994,0
"beta[60]",0,0,0,0,-0.00013007696255,0.0247024202210019,NA,0.000159980936486945,0.6,23842,0.195443215639551,1.21238552415516,0
"beta[61]",0,0,0,0,-0.0002188952350125,0.0193186626850362,NA,0.000134786271926249,0.7,20543,0.279184866413803,1.06048186016958,0
"beta[62]",0,0,0,0,-0.00137021979925,0.0348164489068592,NA,0.000352075315723273,1,9779,0.458895330884911,1.18276345862627,0
