"","TrueCoef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf","MCMC.mode"
"beta[1]",0,0,0,0,0.00136236987558,0.0278238709901834,NA,0.000136802161545342,0.5,41367,-0.00144742774418563,1.00887858915139,0
"beta[2]",0,0,0,0,-1.4053605625e-05,0.00420215638520499,NA,1.57160289627266e-05,0.4,71492,-5.27459890757769e-05,1.05919879064242,0
"beta[3]",0,0,0,0,0.000145123194875,0.00863165824032986,NA,3.05175203731072e-05,0.4,80000,-0.000311624121868122,1.03793467435088,0
"beta[4]",0,0,0,0,0.000131543567125,0.00674214508444949,NA,2.38370825447872e-05,0.4,80000,-0.00047323010753534,1.00474715402228,0
"beta[5]",0,0,0,0,8.2536233e-05,0.00578832984606737,NA,2.05454110778898e-05,0.4,79374,-0.000200464234922733,1.00950219566819,0
"beta[6]",0,0,0,0,-2.427894625e-05,0.00499640065145017,NA,1.76649439108287e-05,0.4,80000,-8.16910727480256e-05,1.03069580056621,0
"beta[7]",2.21552622038871,1.28909,1.78595,2.29608,1.7831112417625,0.259453465144428,NA,0.00450830101641587,1.7,3312,0.27063617436147,1.00034506517718,1.79142320216101
"beta[8]",0,0,0,0,-5.261713875e-06,0.0023765316901797,NA,8.4023083691543e-06,0.4,80000,-7.81134275100679e-05,1.05762260833147,0
"beta[9]",0,0,0,0,-4.31775399999999e-06,0.00259065717545001,NA,8.65628474793539e-06,0.3,89569,-2.35852687977567e-05,1.03180752714893,0
"beta[10]",0,0,0,0,-4.0215683e-05,0.00416234094522431,NA,1.47160975398932e-05,0.4,80000,-0.000128913583157198,1.0473101458588,0
"beta[11]",0,0,0,0,4.15558875000001e-06,0.00607996141700625,NA,2.2220007561001e-05,0.4,74871,-3.02493488796828e-05,1.06895669336426,0
"beta[12]",0,0,0,0,-0.0001119341275,0.00687474202233042,NA,2.65122315922715e-05,0.4,67239,-0.000283291411247302,1.00742705435979,0
"beta[13]",0,0,0,0,2.710702e-05,0.00514796377230872,NA,1.82008004635098e-05,0.4,80000,-6.17480218170093e-05,1.02092933570539,0
"beta[14]",0,0,0,0,0.000218671072125,0.0113573300678244,NA,4.83532703449151e-05,0.4,55170,-0.000399343793753261,1.04609468166918,0
"beta[15]",0,0,0,0,0.00036164872375,0.0137404104031364,NA,5.8121656644452e-05,0.4,55889,-0.000731554530496629,1.01474128201385,0
"beta[16]",0,0,0,0,0.000409613715,0.0137383685705513,NA,6.48588370079728e-05,0.5,44868,-0.000848007220000426,1.03380018964697,0
"beta[17]",0,0,0,0,4.952121e-05,0.00482568363060123,NA,1.87297022542107e-05,0.4,66383,-5.56976496165893e-05,1.09888193563627,0
"beta[18]",0,0,0,0,0.000214469605,0.0114258052191998,NA,4.31962275536957e-05,0.4,69965,0.00779672348056257,1.00811800907709,0
"beta[19]",0,0,0,0,-0.0032898927973,0.0446155077763582,NA,0.000454280476488962,1,9645,0.264778538226804,1.01864431077355,0
"beta[20]",0,0,0,0,0.000224434013,0.00942995612697258,NA,3.68458507749173e-05,0.4,65500,-0.000472460472950769,1.02630671371012,0
"beta[21]",0,0,0,0,0.00361786695625,0.0521645606618499,NA,0.000384522482778137,0.7,18404,0.0564068744996772,1.01245607066601,0
"beta[22]",0,0,0,0,-0.000364289705125,0.016471013969549,NA,7.12930096578926e-05,0.4,53376,0.114216020665961,1.09170137655348,0
"beta[23]",0,0,0,0,0.00054950304025,0.0153570358773291,NA,7.47794082854187e-05,0.5,42175,0.00326369435619188,1.00066759961172,0
"beta[24]",0,0,0,0,-9.0183654625e-05,0.00566053749276036,NA,2.09490664994443e-05,0.4,73011,-0.000199043904323859,1.01196423030217,0
"beta[25]",0,0,0,0,-5.0485471875e-05,0.00516170264507695,NA,1.88486724918747e-05,0.4,74994,-0.000143838939124479,1.09895021542716,0
"beta[26]",0,0,0,0,0.00015146163475,0.00839629181278406,NA,3.28827947945282e-05,0.4,65198,-0.000292569610534304,1.06410770364789,0
"beta[27]",0,0,0,0,1.8424475e-06,0.00417965256565146,NA,1.47773033608808e-05,0.4,80000,-3.87101661538448e-05,1.00780093957538,0
"beta[28]",0,0,0,0,3.04826411625e-05,0.00481662040930958,NA,1.70293247691236e-05,0.4,80000,-6.51646577423905e-05,1.11664377279796,0
"beta[29]",0,0,0,0,-0.000103805402375,0.00731691513694766,NA,2.64317219656664e-05,0.4,76631,-0.000218235499487999,1.07107472623921,0
"beta[30]",0,0,0,0,-0.00022418816,0.00906897648065506,NA,3.52226803240047e-05,0.4,66294,-0.000641924553340054,1.03801008182423,0
"beta[31]",0,0,0,0,8.134738775e-05,0.00672583088636252,NA,2.37794031443057e-05,0.4,80000,-0.000161905603218745,1.03194523869198,0
"beta[32]",0,0,0,0,0.000161585027375,0.00856478177075085,NA,3.34159351289417e-05,0.4,65694,-0.000323145095869015,1.01454546292508,0
"beta[33]",0,0,0,0,-0.003174407593875,0.0462229249605456,NA,0.000377571777267664,0.8,14987,0.0882552931476319,1.01213584962496,0
"beta[34]",0,0,0,0,0.001249398610125,0.0252282016562951,NA,0.000162902233796187,0.6,23984,0.046895637919216,1.03412090702943,0
"beta[35]",0,0,0,0,3.87954875e-06,0.00445788070809417,NA,1.57609883920707e-05,0.4,80000,-9.81422484602657e-06,1.03108766837965,0
"beta[36]",0,0,0,0,-1.68294049999999e-06,0.003376418815947,NA,1.1937443204409e-05,0.4,80000,-4.047290290796e-05,1.15919252096361,0
"beta[37]",0,0,0,0,7.37189999999972e-08,0.00357008902651263,NA,1.26221708004347e-05,0.4,80000,-1.54724075707472e-05,1.04343307642737,0
"beta[38]",0,0,0,0,0.00016477881625,0.00867419754054251,NA,3.44107468251215e-05,0.4,63543,-0.000374507796332922,1.03289075633673,0
"beta[39]",0,0,0,0,-6.904386e-05,0.00548236946325612,NA,1.86850082468233e-05,0.3,86089,-0.000267162264903986,1.06268632221783,0
"beta[40]",0,0,0,0,0.00101430372625,0.0258378853869168,NA,0.000154151479092711,0.6,28094,0.0664803956617175,1.01382582248308,0
"beta[41]",0,0,0,0,1.00060675e-05,0.00479309882005923,NA,1.70761427790655e-05,0.4,78787,-8.27192875889438e-05,1.03307780322858,0
"beta[42]",0,0,0,0,-0.00055017363841125,0.0164924083472708,NA,7.19094418566245e-05,0.4,52601,-0.00114446051565591,1.04770708774368,0
"beta[43]",0,0,0,0,7.91012500000007e-07,0.00334083319981297,NA,1.24444683085232e-05,0.4,72070,-3.16983191662589e-05,1.05017901636766,0
"beta[44]",0,0,0,0,-3.2304608875e-05,0.00452329649329737,NA,1.59922681186403e-05,0.4,80000,-5.91376628703744e-05,1.04714522370947,0
"beta[45]",0,0,0,0,-4.4264054625e-05,0.00467948121462752,NA,1.65444644964887e-05,0.4,80000,-0.00016838386663129,1.00551823598514,0
"beta[46]",0,0,0,0,-2.4226727875e-05,0.00470473113024286,NA,1.80658515899513e-05,0.4,67819,-0.000103666036543697,1.10512804986859,0
"beta[47]",0,0,0,0,-2.3400917875e-05,0.00327056182848671,NA,1.15631822360645e-05,0.4,80000,-3.67093280396944e-05,1.07120325695853,0
"beta[48]",0,0,0,0,-1.3603474625e-05,0.00439024010536922,NA,1.55218427477179e-05,0.4,80000,-1.43462578560607e-05,1.01698277387555,0
"beta[49]",0,0,0,0,0.000109825957875,0.007356367950368,NA,2.6414797776326e-05,0.4,77559,-0.000225553347059972,1.04341625589035,0
"beta[50]",0,0,0,0,0.002096536456875,0.0326824050152712,NA,0.000200127831498442,0.6,26669,0.0522327717785525,1.01070976314418,0
"beta[51]",0,0,0,0,-0.000581039814,0.0159438967892145,NA,6.67273054825596e-05,0.4,57093,-0.00132924298515105,1.00686823960056,0
"beta[52]",0,0,0,0,-0.000395015645,0.0128880364834965,NA,5.60560998027601e-05,0.4,52860,-0.00100871139493077,1.00968083326183,0
"beta[53]",0,0,0,0,-3.47133125e-05,0.00426138984161709,NA,1.52927908555928e-05,0.4,77648,-8.24475717972642e-05,1.06838612717483,0
"beta[54]",0,0,0,0,0.00029987997575,0.0112687328777414,NA,4.33071338639959e-05,0.4,67707,-0.00075527113872277,1.00242832259664,0
"beta[55]",0,0,0,0,-2.468553925e-05,0.00457700632952916,NA,1.69414586039169e-05,0.4,72990,-6.35677080993868e-05,1.189275666547,0
"beta[56]",0,0,0,0,-4.145251025e-05,0.00507910171033212,NA,1.93490126154393e-05,0.4,68906,-0.000136197594676935,1.02188220219118,0
