"","TrueCoef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf","MCMC.mode"
"beta[1]",0,-0.0373683,0,0.0144497,-0.0014076833508225,0.00973957575576446,NA,0.00786371232259542,80.7,2,NA,1.34335198470555,0
"beta[2]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[3]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[4]",0,-0.0317701,0,0,-0.0037258743542275,0.0093958873618633,NA,0.0109704892530833,116.8,1,NA,1.92229398200904,0
"beta[5]",0,-2.48962,-0.45399,3.51269,-0.0435125969758249,1.90888056383439,NA,0.789510321551134,41.4,6,0.998946101038878,5.72789244123306,-1.97787872611364
"beta[6]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[7]",0,-0.141479,0,0,-0.020465279934212,0.0441149368996635,NA,0.000311930945236728,0.7,20001,NA,2.44102044963368,0
"beta[8]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[9]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[10]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[11]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[12]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[13]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[14]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[15]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[16]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[17]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[18]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[19]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[20]",0,0,0,0,-4.957066664875e-05,0.000417012497186956,NA,0.000133906396244882,32.1,10,NA,1.32572898874644,0
"beta[21]",9.96581525499833,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[22]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
