"","beta[2]","beta[4]","beta[15]","beta[26]","beta[29]","beta[41]","beta[52]","beta[64]","beta[81]","beta[86]","beta[87]","beta[105]","beta[133]","beta[148]","beta[158]","beta[162]","beta[165]","beta[209]","beta[228]","beta[241]"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.68723,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.65482,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.83354,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.96952,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.50778,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.00486,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.97888,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.40255,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.19186,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.99582,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.76492,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.62801,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.27311,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.43756,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.4442,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.4292,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.90042,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.26552,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.27877,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.38188,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.84232,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.50864,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.24854,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.22436,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.04491,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.67077,0
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.54004,0
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.47698,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.05604,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.84924,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.9429,0
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.77061,0
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.88025,0
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.5028,0
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.30553,0
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.58445,0
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.17893,0
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.63991,0
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.39523,0
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.52231,0
"41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.99599,0
"42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.10081,0
"43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.06123,0
"44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.11131,0
"45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.41762,0
"46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.57501,0
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.35509,0
"48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.49954,0
"49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.36047,0
"50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.68244,0
"51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.54099,0
"52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.47076,0
"53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.59808,0
"54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.61541,0
"55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.31258,0
"56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.99189,0
"57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.08881,0
"58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.16348,0
"59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.62414,0
