"","TrueCoef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf","MCMC.mode"
"beta[1]",0,0,0,0,0.00224468145825,0.0931649612218441,NA,0.00129397350559049,1.4,5184,0.226725767335519,1.03733328301841,0
"beta[2]",-9.56787710967374,0,0,0,-0.0006536657895,0.0396124868865951,NA,0.000343720014863057,0.9,13282,0.159415680902932,1.15638918828106,0
"beta[3]",0,0,0,0,0.01832114263645,0.25846410710093,NA,0.00325100581886247,1.3,6321,0.425895732211494,1.24476105518787,0
"beta[4]",5.44831999577582,0,0,0,-0.0017896557975,0.0907448528868261,NA,0.00142546691660491,1.6,4053,0.366770815720447,1.13047623672063,0
"beta[5]",0,0,0,0,-0.0402790677655,0.257251611940955,NA,0.00269305707457648,1,9125,0.52254551737101,1.31465409053445,0
"beta[6]",0,0,0,0,-0.0013611867845,0.0626700989428507,NA,0.000471995336900473,0.8,17630,0.0534068813038502,1.19579837837959,0
"beta[7]",0,-0.0565529,0,0.321719,0.13271110758825,0.637016980695119,NA,0.0134149702481648,2.1,2255,0.590222556293852,1.34893353366931,0
"beta[8]",0,0,0,0,-0.0043526700075,0.160875848614981,NA,0.00269059097849715,1.7,3575,0.398643408791615,1.19867181004756,0
"beta[9]",0,0,0,0,0.00355127832425,0.108822953919768,NA,0.00148063461449433,1.4,5402,0.222238208201943,1.25343858746806,0
"beta[10]",0,0,0,7.7869,0.80681996558125,2.67074218692256,NA,0.0277212077868713,1,9282,0.442637202259828,1.56934572055685,0
"beta[11]",0,0,0,0,-0.00395785479425,0.0900808187502856,NA,0.000855231605880282,0.9,11094,0.18095933361111,1.24548480718452,0
"beta[12]",0,-8.5399,0,2.06393,0.12272712902725,2.7399427995903,NA,0.0791148405219191,2.9,1199,0.714876917663342,1.34755884031065,0
"beta[13]",0,0,0,0,0.0188027799465,0.387798992107454,NA,0.00712510344488947,1.8,2962,0.66711315524329,1.08845193995749,0
"beta[14]",0,0,0,0,0.01723799483,0.24947827907142,NA,0.00462095680946809,1.9,2915,0.466628231148572,1.23679710570223,0
"beta[15]",-2.18246305827051,0,0,0,-0.0043099468785,0.0966095565850271,NA,0.00115581663304876,1.2,6987,0.436225235627164,1.08558081720698,0
"beta[16]",0,0,0,0,0.0166564874405,0.203377235104822,NA,0.00639610278939009,3.1,1011,0.618964703478366,1.22016393961709,0
"beta[17]",0,0,0,5.33119,1.1767345379755,2.07509511558359,NA,0.0515241682876481,2.5,1622,0.580833593577061,7.12983209970663,0
"beta[18]",0,0,0,0,-0.0027978862075,0.106210887767155,NA,0.00165415277165009,1.6,4123,0.470693272741269,1.05878473314055,0
"beta[19]",0,0,0,0,0.003834849806,0.09354222384809,NA,0.00107477061169929,1.1,7575,0.21360307704204,1.19339642264224,0
"beta[20]",0,0,0,0,0.0047687254875,0.139083776743373,NA,0.00201443223594027,1.4,4767,0.215609610673957,1.21724909685604,0
