"","beta[246]","beta[247]","beta[264]","beta[431]"
"1",0,-8.44329,10.8228,-12.7254
"2",0,-8.32323,11.0332,-12.5285
"3",0,-8.18734,11.1607,-12.4611
"4",0,-8.26519,11.1166,-12.5328
"5",0,-8.11273,10.8013,-12.3634
"6",0,-8.3826,11.0574,-12.6098
"7",0,-8.21213,10.9592,-12.4744
"8",0,-8.37066,10.9345,-12.4939
"9",0,-8.14909,10.9217,-12.6245
"10",0,-8.29639,11.2023,-12.6029
"11",0,-8.37986,11.0028,-12.9487
"12",0,-8.23322,11.2922,-12.7631
"13",0,-8.40833,11.0493,-12.3298
"14",0,-8.12064,11.2447,-12.6588
"15",0,-8.13243,11.089,-12.713
"16",0,-8.12821,11.1074,-12.8884
"17",0,-8.26683,11.1832,-12.6748
"18",0,-8.53979,10.9648,-12.8112
"19",0,-8.14769,10.9026,-12.5158
"20",0,-8.14886,11.3333,-12.7009
"21",0,-8.40323,11.1195,-12.9099
"22",0,-8.23023,11.0015,-12.8543
"23",0,-8.33984,10.8343,-12.6826
"24",0,-8.26333,11.1897,-12.5652
"25",0,-8.34434,10.7442,-12.7273
"26",0,-8.42751,11.1156,-12.6328
"27",0,-8.33596,10.7782,-12.6746
"28",0,-8.1945,11.2172,-12.8286
"29",0,-8.08924,11.0643,-12.5955
"30",0,-8.13293,10.9223,-12.6018
"31",0,-8.34476,10.9688,-12.8235
"32",0,-8.21072,11.0876,-12.8049
"33",0,-8.29356,11.1263,-12.5796
"34",0,-8.20212,11.1318,-12.7835
"35",0,-8.23431,11.2258,-12.4451
"36",0,-8.63628,11.2259,-12.7022
"37",0,-8.1751,11.0722,-12.4316
"38",0,-8.50942,11.0986,-12.5532
"39",0,-8.05776,10.9606,-12.6596
"40",0,-8.09462,10.8109,-12.7933
"41",0,-8.42823,10.8042,-12.6269
"42",0,-8.21672,10.9309,-12.5424
"43",0,-8.51611,11.1933,-12.3094
"44",0,-8.3711,10.9456,-12.738
"45",0,-8.29535,11.2243,-12.4867
"46",0,-8.20546,11.189,-12.491
"47",0,-8.26981,11.1884,-12.2588
"48",0,-8.48682,11.0289,-12.6668
"49",0,-8.35111,11.1112,-12.7197
"50",0,-8.27537,10.7982,-12.6783
"51",0,-8.4164,10.99,-12.5878
"52",0,-8.22162,11.1364,-12.6292
"53",0,-8.50875,10.7396,-12.6658
"54",0,-7.92991,10.8856,-12.7061
"55",0,-8.48408,10.8216,-12.4901
"56",0,-8.27003,10.7656,-12.7114
"57",0,-8.2935,10.9017,-12.6121
"58",0,-8.23386,11.3354,-12.5955
"59",0,-8.25322,11.1394,-12.5132
"60",0,-8.59362,10.9597,-12.6258
"61",0,-8.15949,11.0521,-12.7919
"62",0,-8.01255,11.1174,-12.4089
"63",0,-8.33136,11.2565,-12.5711
"64",0,-8.13963,11.1047,-12.5408
"65",0,-8.16307,11.152,-12.7342
"66",0,-8.22145,10.8261,-12.8189
"67",0,-8.53613,11.2216,-12.6263
"68",0,-8.1239,11.0951,-12.7048
"69",0,-8.30358,10.9914,-12.8106
"70",0,-8.22232,11.0876,-12.1705
"71",0,-8.13509,11.1069,-12.3409
"72",0,-8.21108,11.2423,-12.4893
"73",0,-8.0465,11.1335,-12.6016
"74",0,-8.33958,11.009,-12.5177
"75",0,-8.36193,11.0275,-12.6161
"76",0,-8.0879,11.2524,-12.5759
"77",0,-8.13089,10.9359,-12.5126
"78",0,-8.15052,11.0172,-12.8528
"79",0,-8.40618,11.2514,-12.6858
"80",0,-8.22753,11.2332,-12.5648
"81",0,-8.36714,11.0604,-12.6814
"82",0,-8.19803,10.9451,-12.4673
"83",0,-8.26136,11.0511,-12.369
"84",0,-8.57351,11.0252,-12.5911
"85",0,-8.51384,10.8897,-12.5755
"86",0,-8.26489,10.8803,-12.7847
"87",0,-8.31685,10.9291,-12.3958
"88",0,-8.44991,11.0749,-12.5647
"89",0,-8.39253,11.2183,-12.5149
"90",0,-8.35061,11.1349,-12.5426
"91",0,-8.28324,11.1279,-12.5349
"92",0,-8.42566,10.9809,-12.3885
"93",0,-7.97318,11.0509,-12.8285
"94",0,-8.30249,10.8364,-12.8158
"95",0,-8.31883,11.2135,-12.5966
"96",0,-8.25263,10.9822,-12.3581
"97",0,-8.16427,11.039,-12.8618
"98",0,-8.11852,10.6976,-12.9102
"99",0,-8.09082,11.0689,-12.8944
"100",0,-8.30028,10.9531,-12.9621
"101",0,-8.33744,11.102,-12.7042
"102",0,-8.32675,10.8825,-12.782
"103",0,-8.37196,10.8932,-12.8472
"104",0,-8.4422,10.9692,-12.3636
"105",0,-8.33315,10.6649,-12.4013
"106",0,-8.32608,11.0031,-12.6219
"107",0,-8.10839,10.9548,-12.5991
"108",0,-8.27638,11.1486,-12.4466
"109",0,-8.14881,11.2535,-12.5408
"110",0,-7.86267,11.0957,-12.3133
"111",0,-8.12679,10.883,-12.6016
"112",0,-8.0488,11.0667,-12.5865
"113",0,-8.28178,10.9633,-12.6638
"114",0,-8.63067,11.3287,-12.4736
"115",0,-8.19613,10.8826,-12.366
"116",0,-8.44641,11.1099,-12.6115
"117",0,-8.29985,11.1145,-12.3725
"118",0,-8.38163,10.9281,-12.4987
"119",0,-8.2493,10.984,-12.921
"120",0,-8.2892,11.362,-12.6109
"121",0,-8.31026,11.1586,-12.7943
"122",0,-8.13949,10.8927,-12.7483
"123",0,-8.45595,11.0523,-12.5549
"124",0,-8.21768,11.0023,-12.3993
"125",0,-8.48363,11.129,-12.7625
"126",0,-8.19434,11.224,-12.5237
"127",0,-8.3935,11.0776,-12.5963
"128",0,-8.10578,11.2183,-12.5676
"129",0,-8.22381,11.1202,-12.914
"130",0,-8.23446,11.0573,-12.6812
"131",0,-8.238,11.1857,-12.6713
"132",0,-8.5176,10.9763,-12.9064
"133",0,-8.28502,10.9898,-12.4746
"134",0,-8.22165,11.1239,-12.3586
"135",0,-8.29754,10.9868,-12.6535
"136",0,-8.47682,10.9513,-12.8744
"137",0,-8.3641,11.0593,-12.5635
"138",0,-8.38356,10.8299,-12.6791
"139",0,-8.22738,11.2127,-12.7771
"140",0,-8.26797,11.1194,-12.8043
"141",0,-8.38226,10.9669,-12.5836
"142",0,-8.22192,10.9692,-12.7985
"143",0,-8.11928,10.9797,-12.556
"144",0,-8.11894,11.0385,-12.6251
"145",0,-8.09459,11.3504,-12.5669
"146",0,-8.38809,10.8021,-12.4687
"147",0,-8.549,10.8995,-12.5893
"148",0,-8.10711,11.1751,-12.4718
"149",0,-8.38465,11.1558,-12.7953
"150",0,-8.41003,11.0138,-12.4634
"151",0,-8.30818,10.8432,-12.5091
"152",0,-8.34508,10.9979,-12.719
"153",0,-8.23196,11.2219,-12.4872
"154",0,-8.27186,11.1362,-12.9241
"155",0,-8.30556,11.0499,-12.6595
"156",0,-8.12656,10.7034,-12.8647
"157",0,-8.07056,11.0822,-12.5435
"158",0,-8.0224,10.9751,-12.6126
"159",0,-8.04804,10.7896,-12.7982
"160",0,-8.22278,11.1326,-12.4534
"161",0,-8.39399,11.2344,-12.4375
"162",0,-8.36331,11.0285,-12.3873
"163",0,-8.21129,10.9632,-12.5871
"164",0,-8.45842,11.0132,-12.6156
"165",0,-8.22191,10.9978,-12.4205
"166",0,-8.18949,10.9924,-12.59
"167",0,-8.17717,11.023,-12.4879
"168",0,-8.01606,11.0579,-12.8059
"169",0,-8.25204,11.3089,-13.059
"170",0,-8.10999,11.3658,-12.289
"171",0,-8.36377,10.9216,-12.3484
"172",0,-8.17895,11.409,-12.6328
"173",0,-8.42844,11.1731,-12.4605
"174",0,-8.20057,10.8828,-12.3611
"175",0,-7.88604,10.9907,-12.1782
"176",0,-8.30806,10.9474,-12.7352
"177",0,-8.34474,10.9035,-12.6118
"178",0,-7.97431,11.3381,-12.7018
"179",0,-7.90007,11.3093,-12.5622
"180",0,-8.21715,10.6704,-12.76
"181",0,-8.35643,11.0667,-12.4448
"182",0,-8.26202,11.3081,-12.7016
"183",0,-8.49852,11.1663,-12.4512
"184",0,-8.22769,11.2579,-12.5229
"185",0,-8.26756,10.8675,-12.5707
"186",0,-8.38457,10.969,-12.5971
"187",0,-8.43218,11.3165,-12.7803
"188",0,-8.14598,10.8623,-12.6289
"189",0,-8.28839,11.1595,-12.7939
"190",0,-8.04574,10.7377,-12.7267
"191",0,-8.22574,10.959,-12.4853
"192",0,-8.25859,10.9683,-12.7074
"193",0,-8.19191,11.0679,-12.7025
"194",0,-8.27245,11.0028,-12.7108
"195",0,-8.40509,11.1551,-12.7397
"196",0,-8.27129,10.9927,-12.327
"197",0,-8.06715,11.0277,-12.8178
"198",0,-8.5029,10.8881,-12.5618
"199",0,-8.20999,11.0171,-12.8333
"200",0,-8.53383,10.8946,-12.7632
"201",0,-8.3963,11.0705,-12.7277
"202",0,-8.26278,10.8134,-12.6161
"203",0,-8.35036,10.9055,-12.867
"204",0,-8.31966,11.0675,-12.5549
"205",0,-8.28949,10.8904,-12.4636
"206",0,-8.07395,11.0392,-12.6717
"207",0,-8.22744,11.2293,-12.545
"208",0,-8.26591,11.0907,-12.6006
"209",0,-8.33733,11.1567,-12.6266
"210",0,-8.32246,10.9955,-12.7667
"211",0,-8.11456,11.2332,-12.3134
"212",0,-8.29146,11.0283,-12.6837
"213",0,-8.51979,11.3053,-12.5343
"214",0,-8.33933,11.2408,-12.4685
"215",0,-8.29414,11.2857,-12.5305
"216",0,-8.30183,10.7285,-12.55
"217",0,-8.49661,11.0821,-12.9671
"218",0,-8.25694,10.8571,-12.7521
"219",0,-7.99998,11.0485,-12.6482
"220",0,-8.28001,10.7504,-12.7216
"221",0,-8.35572,11.2017,-12.6577
"222",0,-8.11715,10.8151,-12.3153
"223",0,-8.43269,10.8727,-12.7575
"224",0,-8.38289,11.188,-12.4776
"225",0,-8.28102,11.09,-12.6034
