"","sparse_dim","S_supported"
"1",29,0
"2",27,0
"3",28,0
"4",26,0
"5",26,0
"6",26,0
"7",29,0
"8",28,0
"9",27,0
"10",28,0
"11",27,0
"12",27,0
"13",27,0
"14",27,0
"15",28,0
"16",28,0
"17",27,0
"18",27,0
"19",30,0
"20",29,0
"21",27,0
"22",27,0
"23",28,0
"24",29,0
"25",28,0
"26",27,0
"27",27,0
"28",26,0
"29",27,0
"30",28,0
"31",27,0
"32",27,0
"33",27,0
"34",28,0
"35",27,0
"36",27,0
"37",27,0
"38",29,0
"39",28,0
"40",30,0
"41",29,0
"42",29,0
"43",31,0
"44",28,0
"45",29,0
"46",29,0
"47",26,0
"48",27,0
"49",26,0
"50",27,0
"51",26,0
"52",26,0
"53",27,0
"54",27,0
"55",27,0
"56",27,0
"57",27,0
"58",28,0
"59",29,0
"60",25,0
"61",26,0
"62",28,0
"63",29,0
"64",30,0
"65",28,0
"66",27,0
"67",27,0
"68",26,0
"69",26,0
"70",26,0
"71",27,0
"72",27,0
"73",29,0
"74",27,0
"75",27,0
"76",26,0
"77",28,0
"78",26,0
"79",29,0
"80",29,0
"81",27,0
"82",26,0
"83",27,0
"84",25,0
"85",25,0
"86",28,0
"87",28,0
"88",29,0
"89",29,0
"90",29,0
"91",28,0
"92",29,0
"93",28,0
"94",27,0
"95",27,0
"96",29,0
"97",28,0
"98",29,0
"99",28,0
"100",28,0
"101",32,0
"102",29,0
"103",29,0
"104",30,0
"105",30,0
"106",29,0
"107",28,0
"108",30,0
"109",29,0
"110",29,0
"111",28,0
"112",31,0
"113",30,0
"114",27,0
"115",29,0
"116",30,0
"117",28,0
"118",27,0
"119",30,0
"120",31,0
"121",27,0
"122",28,0
"123",29,0
"124",26,0
"125",30,0
"126",27,0
"127",28,0
"128",27,0
"129",27,0
"130",27,0
"131",27,0
"132",26,0
"133",27,0
"134",26,0
"135",26,0
"136",27,0
"137",27,0
"138",27,0
"139",26,0
"140",27,0
"141",28,0
"142",27,0
"143",27,0
"144",26,0
"145",26,0
"146",26,0
"147",29,0
"148",27,0
"149",28,0
"150",28,0
"151",26,0
"152",27,0
"153",26,0
"154",27,0
"155",26,0
"156",28,0
"157",30,0
"158",28,0
"159",29,0
"160",29,0
"161",29,0
"162",27,0
"163",26,0
"164",26,0
"165",27,0
"166",27,0
"167",29,0
"168",29,0
"169",26,0
"170",26,0
"171",27,0
"172",27,0
"173",28,0
"174",27,0
"175",29,0
"176",28,0
"177",28,0
"178",27,0
"179",27,0
"180",27,0
"181",27,0
"182",26,0
"183",26,0
"184",27,0
"185",27,0
"186",26,0
"187",27,0
"188",26,0
"189",26,0
"190",27,0
"191",28,0
"192",27,0
"193",28,0
"194",29,0
"195",27,0
"196",27,0
"197",27,0
"198",27,0
"199",29,0
"200",29,0
"201",28,0
"202",28,0
"203",29,0
"204",29,0
"205",29,0
"206",29,0
"207",28,0
"208",29,0
"209",30,0
"210",28,0
"211",29,0
"212",29,0
"213",30,0
"214",29,0
"215",28,0
"216",28,0
"217",28,0
"218",27,0
"219",27,0
"220",29,0
"221",26,0
"222",27,0
"223",26,0
"224",28,0
"225",27,0
"226",28,0
"227",29,0
"228",27,0
"229",28,0
"230",28,0
"231",31,0
"232",27,0
"233",26,0
"234",28,0
"235",27,0
"236",26,0
"237",26,0
"238",27,0
"239",29,0
"240",27,0
"241",27,0
"242",27,0
"243",26,0
"244",31,0
"245",29,0
"246",28,0
"247",28,0
"248",27,0
"249",26,0
"250",30,0
"251",27,0
"252",29,0
"253",29,0
"254",29,0
"255",28,0
"256",27,0
"257",28,0
"258",28,0
"259",28,0
"260",27,0
"261",30,0
"262",28,0
"263",27,0
"264",26,0
"265",26,0
"266",27,0
"267",27,0
"268",27,0
"269",27,0
"270",27,0
"271",26,0
"272",27,0
"273",26,0
"274",26,0
"275",26,0
"276",26,0
"277",26,0
"278",26,0
"279",26,0
"280",26,0
"281",26,0
"282",26,0
"283",26,0
"284",27,0
"285",30,0
"286",28,0
"287",28,0
"288",28,0
"289",29,0
"290",27,0
"291",28,0
"292",28,0
"293",27,0
"294",28,0
"295",27,0
"296",27,0
"297",27,0
"298",29,0
"299",29,0
"300",28,0
"301",27,0
"302",28,0
"303",27,0
"304",28,0
"305",26,0
"306",26,0
"307",26,0
"308",26,0
"309",26,0
"310",26,0
"311",26,0
"312",26,0
"313",27,0
"314",27,0
"315",29,0
"316",29,0
"317",29,0
"318",29,0
"319",29,0
"320",27,0
"321",29,0
"322",27,0
"323",28,0
"324",28,0
"325",28,0
"326",28,0
"327",28,0
"328",28,0
"329",26,0
"330",26,0
"331",27,0
"332",27,0
"333",27,0
"334",27,0
"335",29,0
"336",28,0
"337",26,0
"338",27,0
"339",26,0
"340",26,0
"341",26,0
"342",27,0
"343",29,0
"344",27,0
"345",27,0
"346",27,0
"347",30,0
"348",27,0
"349",28,0
"350",27,0
"351",26,0
"352",27,0
"353",27,0
"354",29,0
"355",28,0
"356",28,0
"357",26,0
"358",28,0
"359",27,0
"360",29,0
"361",28,0
"362",27,0
"363",27,0
"364",27,0
"365",27,0
"366",29,0
"367",26,0
"368",28,0
"369",26,0
"370",27,0
"371",26,0
"372",30,0
"373",28,0
"374",28,0
"375",29,0
"376",29,0
"377",29,0
"378",28,0
"379",29,0
"380",28,0
"381",27,0
"382",28,0
"383",27,0
"384",26,0
"385",26,0
"386",26,0
"387",27,0
"388",28,0
"389",27,0
"390",27,0
"391",28,0
"392",27,0
"393",27,0
"394",28,0
"395",27,0
"396",26,0
"397",27,0
"398",27,0
"399",29,0
"400",28,0
"401",26,0
"402",27,0
"403",29,0
"404",27,0
"405",27,0
"406",26,0
"407",27,0
"408",28,0
"409",26,0
"410",27,0
"411",26,0
"412",27,0
"413",26,0
"414",26,0
"415",27,0
"416",27,0
"417",27,0
"418",28,0
"419",26,0
"420",25,0
"421",25,0
"422",28,0
"423",25,0
"424",26,0
"425",26,0
"426",26,0
"427",26,0
"428",26,0
"429",29,0
"430",28,0
"431",28,0
"432",27,0
"433",28,0
"434",28,0
"435",27,0
"436",25,0
"437",28,0
"438",27,0
"439",25,0
"440",25,0
"441",26,0
"442",26,0
"443",26,0
"444",30,0
"445",29,0
"446",27,0
"447",26,0
"448",27,0
"449",26,0
"450",26,0
"451",26,0
"452",28,0
"453",28,0
"454",28,0
"455",30,0
"456",29,0
"457",28,0
"458",27,0
"459",27,0
"460",30,0
"461",27,0
"462",30,0
"463",30,0
"464",28,0
"465",27,0
"466",28,0
"467",29,0
"468",29,0
"469",31,0
"470",26,0
"471",26,0
"472",27,0
"473",26,0
"474",26,0
"475",26,0
"476",27,0
"477",27,0
"478",26,0
"479",28,0
"480",27,0
"481",26,0
"482",29,0
"483",29,0
"484",31,0
"485",30,0
"486",31,0
"487",32,0
"488",28,0
"489",28,0
"490",31,0
"491",27,0
"492",26,0
"493",28,0
"494",27,0
"495",27,0
"496",26,0
"497",27,0
"498",28,0
"499",30,0
"500",27,0
"501",27,0
"502",26,0
"503",27,0
"504",26,0
"505",27,0
"506",28,0
"507",27,0
"508",30,0
"509",26,0
"510",27,0
"511",28,0
"512",30,0
"513",28,0
"514",26,0
"515",26,0
"516",28,0
"517",26,0
"518",28,0
"519",29,0
"520",27,0
"521",27,0
"522",28,0
"523",26,0
"524",30,0
"525",29,0
"526",28,0
"527",31,0
"528",27,0
"529",26,0
"530",28,0
"531",25,0
"532",25,0
"533",25,0
"534",25,0
"535",25,0
"536",25,0
"537",27,0
"538",27,0
"539",27,0
"540",29,0
"541",31,0
"542",28,0
"543",27,0
"544",28,0
"545",26,0
"546",27,0
"547",28,0
"548",27,0
"549",27,0
"550",26,0
"551",27,0
"552",26,0
"553",26,0
"554",27,0
"555",27,0
"556",26,0
"557",27,0
"558",27,0
"559",27,0
"560",26,0
"561",27,0
"562",27,0
"563",26,0
"564",26,0
"565",26,0
"566",26,0
"567",26,0
"568",26,0
"569",27,0
"570",28,0
"571",27,0
"572",26,0
"573",28,0
"574",26,0
"575",26,0
"576",27,0
"577",27,0
"578",28,0
"579",28,0
"580",28,0
"581",29,0
"582",29,0
"583",29,0
"584",26,0
"585",26,0
"586",26,0
"587",27,0
"588",26,0
"589",28,0
"590",26,0
"591",27,0
"592",25,0
"593",26,0
"594",26,0
"595",27,0
"596",29,0
"597",27,0
"598",27,0
"599",26,0
"600",26,0
"601",29,0
"602",27,0
"603",26,0
"604",28,0
"605",27,0
"606",29,0
"607",30,0
"608",30,0
"609",28,0
"610",27,0
"611",28,0
"612",28,0
"613",28,0
"614",28,0
"615",28,0
"616",28,0
"617",28,0
"618",27,0
"619",27,0
"620",29,0
"621",30,0
"622",26,0
"623",28,0
"624",29,0
"625",28,0
"626",29,0
"627",29,0
"628",28,0
"629",28,0
"630",27,0
"631",27,0
"632",30,0
"633",31,0
"634",27,0
"635",28,0
"636",29,0
"637",27,0
"638",28,0
"639",27,0
"640",31,0
"641",29,0
"642",28,0
"643",29,0
"644",27,0
"645",29,0
"646",26,0
"647",28,0
"648",27,0
"649",28,0
"650",26,0
"651",27,0
"652",30,0
"653",27,0
"654",30,0
"655",26,0
"656",28,0
"657",26,0
"658",26,0
"659",29,0
"660",30,0
"661",32,0
"662",30,0
"663",30,0
"664",29,0
"665",26,0
"666",27,0
"667",28,0
"668",29,0
"669",29,0
"670",28,0
"671",31,0
"672",31,0
"673",27,0
"674",27,0
"675",29,0
"676",28,0
"677",29,0
"678",31,0
"679",30,0
"680",27,0
"681",28,0
"682",28,0
"683",28,0
"684",27,0
"685",31,0
"686",27,0
"687",27,0
"688",28,0
"689",28,0
"690",27,0
"691",28,0
"692",29,0
"693",28,0
"694",27,0
"695",28,0
"696",27,0
"697",29,0
"698",27,0
"699",28,0
"700",27,0
"701",26,0
"702",27,0
"703",27,0
"704",26,0
"705",28,0
"706",27,0
"707",26,0
"708",29,0
"709",28,0
"710",29,0
"711",28,0
"712",26,0
"713",26,0
"714",26,0
"715",26,0
"716",28,0
"717",27,0
"718",27,0
"719",26,0
"720",26,0
"721",26,0
"722",28,0
"723",26,0
"724",28,0
"725",28,0
"726",29,0
"727",27,0
"728",28,0
"729",28,0
"730",28,0
"731",31,0
"732",30,0
"733",30,0
"734",28,0
"735",29,0
"736",27,0
"737",28,0
"738",28,0
"739",30,0
"740",30,0
"741",28,0
"742",28,0
"743",27,0
"744",27,0
