"","TrueCoef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf","MCMC.mode"
"beta[1]",2.50412351218984,0,2.319915,2.58893,1.97261504629562,0.879627074769949,NA,0.00491852180704191,0.6,31984,0.481976685141983,1.62477165834677,2.36044462889203
"beta[2]",1.03822493750572,0,1.05926,1.31324,0.91628514709875,0.423652268203133,NA,0.00231035726652437,0.5,33625,0.44152459499596,1.55293968293145,1.09324059103224
"beta[3]",1.23499299776926,0,1.13793,1.39922,0.981212480666625,0.454671660536037,NA,0.00236059241590082,0.5,37098,0.444472291298269,1.57103177161816,1.1725028644397
"beta[4]",-9.88789720418763,-10.1823,-9.946105,0,-8.4530369483615,3.50942441011835,NA,0.0195310621530527,0.6,32286,0.496138717190205,1.65289929773816,-9.9911604610231
"beta[5]",7.5347436294453,0,7.5202,7.84948,6.368751336075,2.74159162873854,NA,0.0141945198004324,0.5,37305,0.497779220369973,1.6919909722462,7.54607565306223
"beta[6]",0,0,0,0,0.000822467011375001,0.0273963936454709,NA,0.000111448294805667,0.4,60428,0.178695407798388,1.28880936655391,0
"beta[7]",0,0,0,0,-1.9447892425e-05,0.0101258894668793,NA,4.02203606537747e-05,0.4,63383,-2.28764787832288e-05,1.26285902986943,0
"beta[8]",0,0,0,0,0.000187909697725,0.0155149871884043,NA,6.65948039501655e-05,0.4,54278,0.00251820872489189,1.2234006769364,0
"beta[9]",0,-1.322,0,0,-0.0981081053733749,0.418500328528785,NA,0.00174242989832068,0.4,57687,0.245968806869343,1.44355854818095,0
"beta[10]",0,0,0,0,-0.015281947985875,0.15565134652537,NA,0.000635360879307116,0.4,60016,0.238669705864192,1.31417567663432,0
"beta[11]",0,-3.33495,0,0,-0.361503895498875,1.03367368660638,NA,0.00442529863801494,0.4,54561,0.247511358257275,1.71839168467291,0
"beta[12]",0,0,0,0,0.0002441396188625,0.0125847467583942,NA,5.0692646834423e-05,0.4,61631,0.0626736658903186,1.24505462833838,0
"beta[13]",0,0,0,0,-0.00011870316875,0.0109114498320441,NA,4.39568080807811e-05,0.4,61619,0.0653562867712277,1.26567255923653,0
"beta[14]",0,0,0,0,0.02755430855125,0.213756719843939,NA,0.000927221103310792,0.4,53146,0.241817916257972,1.33190115362363,0
"beta[15]",0,0,0,0,0.000143638517675,0.0158075771955195,NA,7.49916699227724e-05,0.5,44433,0.111144804125366,1.13803619678719,0
"beta[16]",0,0,0,0,0.001217886045,0.032713881598062,NA,0.000130071478778774,0.4,63256,0.216296387258669,1.28887460733367,0
"beta[17]",0,0,0,0,-0.0004104992129375,0.0198444202082536,NA,8.05113697709856e-05,0.4,60752,0.132647836464855,1.28075098330485,0
"beta[18]",0,0,0,0,3.965173025e-05,0.00802292683698901,NA,3.10011729213915e-05,0.4,66974,-5.56399787524984e-05,1.26226350818284,0
"beta[19]",0,0,0,0,0.000840088015,0.0291007738208522,NA,0.000138098274907971,0.5,44405,0.190133590852578,1.27905913066659,0
"beta[20]",0,0,0,0,-0.00560637132625,0.0867753700863624,NA,0.000386999506393319,0.4,50277,0.233658963841769,1.29966135989966,0
"beta[21]",0,0,0,0,0.0003020461825,0.0197643355172005,NA,9.12933603450917e-05,0.5,46869,0.0637459320669302,1.26224773555301,0
"beta[22]",0,0,0,0,6.110998e-05,0.00546396447418025,NA,2.13740440503445e-05,0.4,65350,-0.000228320565139147,1.07768830308561,0
"beta[23]",0,0,0,0,0.001976331494625,0.042900593523117,NA,0.000175001413150332,0.4,60096,0.207121950083728,1.29501142866519,0
"beta[24]",0,0,0,0,-0.00112059051125,0.0336486174557472,NA,0.000168382534727966,0.5,39934,0.220260339863592,1.28241265032448,0
"beta[25]",0,0,0,0,0.00019087027675,0.0121702702072151,NA,5.27011266134438e-05,0.4,53329,-0.000267680869808997,1.03309742960819,0
"beta[26]",0,0,0,0,8.10838875e-05,0.0220112279767851,NA,9.40362162903499e-05,0.4,54790,0.0777830556131594,1.2751852030944,0
"beta[27]",0,0,0,0,5.10815005e-05,0.0101318780530903,NA,4.54387252861405e-05,0.4,49720,0.0370685774914988,1.18775364582042,0
"beta[28]",0,0,0,0,-0.0001052387785,0.00960660563682005,NA,4.26602718054225e-05,0.4,50710,-0.0002049859006746,1.21806926600249,0
"beta[29]",0,0,0,0,-0.081541145370625,0.436869091220713,NA,0.00237609335576533,0.5,33805,0.321355516036822,1.38116797193944,0
"beta[30]",0,0,0,0,0.0001767760320625,0.0189765826001507,NA,8.78126289331482e-05,0.5,46701,0.13413707024848,1.19102494992262,0
