"","TrueCoef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf","MCMC.mode"
"beta[1]",18.9224577964026,18.46,18.7103,18.9458,18.70701296125,0.123638423334445,NA,0.00059387438381065,0.5,43343,0.00418049907772127,1.00002990701883,18.7310952321159
"beta[2]",-1.55411827377975,-1.62688,-1.409465,-1.18761,-1.409444589275,0.111857959327443,NA,0.000423243431502066,0.4,69848,-0.00299874820209334,1.00000620687861,-1.3971210683146
"beta[3]",0,-0.368019,0,0,-0.037068589940125,0.115431323950875,NA,0.000967858560684706,0.8,14224,0.0294337520745087,1.00008792993884,0
"beta[4]",0,0,0,0,-1.951510225e-05,0.00197423592770467,NA,6.87765956734515e-06,0.3,82398,-9.45515297158161e-05,1.01694149615202,0
"beta[5]",0,0,0,0,-1.0686723e-05,0.00157333083196624,NA,5.56256450166819e-06,0.4,80000,-7.76983947297555e-05,1.0555424900028,0
"beta[6]",0,0,0,0,1.04958955e-05,0.00232413202518463,NA,8.5879802356194e-06,0.4,73239,-1.24110150275688e-05,1.00596453916112,0
"beta[7]",0,0,0,0,0.000237382985625,0.00832396369651496,NA,3.00091512683296e-05,0.4,76940,-0.000807274978675313,1.01221904029975,0
"beta[8]",0,0,0,0,-6.52222825e-06,0.00189064463082833,NA,6.68443819636359e-06,0.4,80000,-2.87057917843175e-05,1.02911011324855,0
"beta[9]",0,0,0,0,-6.979800425e-05,0.00384712610115204,NA,1.3926537266944e-05,0.4,76311,-0.000321003893110951,1.00461032692286,0
"beta[10]",0,0,0,0,7.730245005e-06,0.00178206999166073,NA,6.30056887826166e-06,0.4,80000,-2.53341444361407e-05,1.0468976462182,0
"beta[11]",0,0,0,0,9.047558375e-06,0.00153650329108489,NA,5.43235948220897e-06,0.4,80000,-5.08799647628962e-05,1.10881734608925,0
"beta[12]",0,0,0,0,-9.99993175e-06,0.00123940004747226,NA,4.38194089085283e-06,0.4,80000,-4.90231454167708e-05,1.09492731464967,0
"beta[13]",0,0,0,0,-5.76550825e-06,0.0010935967120228,NA,3.86644825477288e-06,0.4,80000,-3.70438917569913e-05,1.13997819586946,0
"beta[14]",0,0,0,0,-1.199113625e-05,0.00191486871249301,NA,6.77008325842816e-06,0.4,80000,-5.68692605926601e-05,1.06340335725258,0
"beta[15]",0,0,0,0,-1.480231525e-05,0.00150382789777613,NA,5.31683452127437e-06,0.4,80000,-7.46261405873985e-05,1.04868874615429,0
"beta[16]",0,0,0,0,1.3182898375e-05,0.00217649018233117,NA,7.69505483556077e-06,0.4,80000,-4.15539368842587e-05,1.01984010210736,0
"beta[17]",0,0,0,0,-0.000115772290625,0.00517048186476166,NA,1.89412799533477e-05,0.4,74515,-0.000529783554379298,1.02041823123617,0
"beta[18]",0,0,0,0,1.5713081875e-05,0.00161929197799625,NA,5.72506169181121e-06,0.4,80000,-0.000175016386622541,1.04332392185753,0
"beta[19]",0,0,0,0,2.3116916625e-05,0.0022700789071069,NA,8.02594094521983e-06,0.4,80000,-9.57159104738992e-05,1.05112965671732,0
"beta[20]",0,0,0,0,1.281870125e-06,0.00100668404523147,NA,3.55916557447758e-06,0.4,80000,-2.61428840561199e-05,1.11936468766422,0
"beta[21]",0,0,0,0,0.000128251155375,0.0055573853677013,NA,2.15952634554692e-05,0.4,66225,-0.000623083402089272,1.00642164762791,0
"beta[22]",0,0,0,0,-2.496340375e-05,0.00210531048584766,NA,7.44339660522946e-06,0.4,80000,-0.000191527057928648,1.09602307196601,0
"beta[23]",0,0,0,0,1.6288920375e-05,0.00167359160819588,NA,5.91703987546128e-06,0.4,80000,-0.000101679962275726,1.00893977777016,0
"beta[24]",0,0,0,0,-2.9229845e-06,0.0017078410744345,NA,6.03813002460641e-06,0.4,80000,-2.56146501006509e-05,1.03668146633796,0
"beta[25]",0,0,0,0,-2.4692431125e-05,0.00196180249149328,NA,6.93601922541779e-06,0.4,80000,-0.000147444726110749,1.03733778038205,0
"beta[26]",0,0,0,0,5.577021775e-06,0.00131672966601252,NA,4.65534237913487e-06,0.4,80000,-3.48915410577719e-05,1.09402198079983,0
