"","TrueCoef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf","MCMC.mode"
"beta[1]",-1.11241993147814,-1.48804,-1.00506,0,-0.823676108087512,0.537663019298107,NA,0.00831334202236638,1.5,4183,0.367873887456939,1.10592817085456,-1.10398110378616
"beta[2]",-23.3402501965377,-23.7255,-23.2646,0,-19.9288828387696,8.16699339829651,NA,0.0595269160598302,0.7,18823,0.505489330852599,1.33805607305356,-23.3474659036882
"beta[3]",0,0,0,0,-0.00190616534525,0.0419288479460703,NA,0.000245662857477808,0.6,29130,0.0224303240531511,1.00389708463768,0
"beta[4]",0,0,0,0,0.00011462209975,0.00989997951645822,NA,3.83382778427689e-05,0.4,66681,-0.000187109416198549,1.07444253091194,0
"beta[5]",0,-0.738334,0,2.71151,0.34768983279875,1.53433684562657,NA,0.00635189379892986,0.4,58349,0.248597043124663,1.4321079367993,0
"beta[6]",0,0,0,0,0.00127282267839875,0.0419828917251556,NA,0.000185222606502233,0.4,51376,0.179601935437103,1.28201602437246,0
"beta[7]",0,0,0,0,-0.005477274622625,0.111493220389485,NA,0.00047073937646534,0.4,56097,0.221291914399727,1.29495672582285,0
"beta[8]",0,-6.35587,0,0,-0.58588651326625,1.8144115579928,NA,0.00861054534209139,0.5,44403,0.248724135367802,1.63161734823445,0
"beta[9]",0,0,0,0,-0.000320467290725,0.0222678143426502,NA,9.74122778074555e-05,0.4,52255,0.0405699743652111,1.09031313154466,0
"beta[10]",0,0,0,0,9.90944441250001e-05,0.0253196505766585,NA,0.000112989798596732,0.4,50215,0.0702317704115297,1.15148594183992,0
"beta[11]",0,0,0,0,0.00162630714075,0.0529514750378919,NA,0.00030918403290469,0.6,29331,0.0444336732101684,1.05115313572193,0
"beta[12]",0,0,0,0,-0.00037238192725,0.0312328707437545,NA,0.000145909351048158,0.5,45820,-0.000631090318225356,1.06468733010374,0
"beta[13]",0,0,0,0,0.000131089292125,0.0141263964746161,NA,5.85364468482336e-05,0.4,58238,0.011058221588785,1.12239516079504,0
"beta[14]",0,0,0,0,-0.000417201211125,0.0198675127813481,NA,9.09288763471413e-05,0.5,47740,0.097397975833625,1.18568877481799,0
"beta[15]",0,0,0,0,7.4293312e-05,0.0179593219468269,NA,6.87747685237379e-05,0.4,68190,-0.000197473213013117,1.10094346530953,0
"beta[16]",0,0,0,0,0.002705269102875,0.0428101791723082,NA,0.000196289298888736,0.5,47566,0.0137354775418978,1.013224976642,0
"beta[17]",0,0,0,0,-0.00021507773375,0.0478300648613741,NA,0.000221576551048241,0.5,46597,0.00534761675076601,1.12727660511997,0
"beta[18]",0,0,0,0,0.000613827772375,0.0263802668615251,NA,0.000111864236021027,0.4,55613,0.0136727564176725,1.07233980768956,0
"beta[19]",0,0,0,0,-0.00461930048575,0.0647047340287206,NA,0.000388897097441243,0.6,27682,0.00576233764756577,1.01296559222896,0
"beta[20]",0,0,0,0,-0.00096686050125,0.032880004254265,NA,0.000173026625721203,0.5,36111,0.0271905783921585,1.07944646712215,0
"beta[21]",0,0,0,0,-0.02620876281075,0.183661350587345,NA,0.00175145529254521,1,10996,0.0828193214538437,1.003051100181,0
"beta[22]",0,0,0,0,0.000784872647375,0.0355942718012854,NA,0.000169822270060853,0.5,43931,0.132134806232045,1.1374548100159,0
"beta[23]",0,0,0,0,-0.0001050919675,0.0193543194552321,NA,8.53135773728608e-05,0.4,51466,0.0728064571414883,1.17094001397054,0
"beta[24]",0,0,0,0,-0.00012145890125,0.0186019785863148,NA,7.90147803928643e-05,0.4,55424,-0.000159689116787567,1.1610429359165,0
"beta[25]",0,-2.50627,0,0,-0.21630801518425,0.717244865403158,NA,0.00383114537737935,0.5,35049,0.260604440785969,1.5752324584177,0
"beta[26]",0,0,0,0,-0.00166047806875,0.0430436161584852,NA,0.000183874718838657,0.4,54799,0.00299848030303205,1.01518935994469,0
"beta[27]",0,0,0,0,0.000342809861625,0.0424199690356523,NA,0.00019775310594113,0.5,46014,0.0232607630128989,1.09973044820676,0
"beta[28]",0,0,0,0,0.003651309903625,0.0643453323788673,NA,0.000329451331617687,0.5,38146,-0.00122087664937754,1.00226876448546,0
"beta[29]",0,0,0,0,0.0001117301225,0.0159216751120573,NA,6.19135095727645e-05,0.4,66131,-0.000116934313586515,1.08414978072603,0
"beta[30]",0,0,0,0,1.68590807499999e-05,0.0161448764023911,NA,7.06693221168782e-05,0.4,52192,-0.0047125988268773,1.11698409925916,0
"beta[31]",0,0,0,0,0.000142584329,0.0153976881275109,NA,6.0868384170632e-05,0.4,63992,-0.000156309474552452,1.20632922633585,0
"beta[32]",0,0,0,6.47296,0.62952346664,1.92605325906787,NA,0.0119987218532634,0.6,25767,0.248261399221777,1.64268590882429,0
"beta[33]",0,0,0,0,-0.00101919976775,0.0351225619891968,NA,0.000149261070745802,0.4,55371,0.0175352530922432,1.04215365452391,0
"beta[34]",0,0,0,0,0.0005283417145,0.0544334418988156,NA,0.000240919582024595,0.4,51049,0.0767707940201255,1.17730115555349,0
"beta[35]",0,0,0,0,2.6834906875e-05,0.0114668642797079,NA,4.93911054745408e-05,0.4,53900,-2.5164827879924e-05,1.17864007438136,0
"beta[36]",0,0,0,0,7.43774162499999e-06,0.010309991260401,NA,3.95039436697899e-05,0.4,68114,-0.00224623346938964,1.06958728587763,0
"beta[37]",0,0,0,0,-0.00136770759329738,0.0320352057192472,NA,0.00012696572115471,0.4,63662,-0.00124241273767892,1.00296239817178,0
"beta[38]",0,-0.0072356,0,5.80941,0.49765688174125,2.17203919772804,NA,0.0118608209515774,0.5,33536,0.248869674646057,1.43537536153565,0
"beta[39]",0,0,0,0,-0.0014451955889375,0.0434607042568881,NA,0.00030936434687794,0.7,19736,0.000103736991408299,1.00650004479095,0
"beta[40]",0,0,0,6.26125,0.56194964822525,1.76316017755838,NA,0.0139848668001383,0.8,15895,0.281683381195284,1.63119826574147,0
"beta[41]",0,0,0,0,-0.00111375849875,0.0462700692384551,NA,0.00022079366622687,0.5,43916,0.124969782134457,1.21269687739513,0
"beta[42]",0,0,0,0,-0.000758971964624999,0.0524909576669237,NA,0.000250490212248094,0.5,43912,0.158500914637631,1.1922558461531,0
"beta[43]",0,0,0,0,-0.0004263596344975,0.0245450044402016,NA,9.89869886103634e-05,0.4,61485,0.0363973433385794,1.15534486874652,0
"beta[44]",0,0,0,0,-0.00015603424875,0.0294127405675414,NA,0.000132333322125154,0.4,49401,0.0874170233884757,1.17891283055072,0
"beta[45]",0,0,0,0,-0.0001840667441125,0.0174051779930731,NA,7.20560145718367e-05,0.4,58347,-0.000160129987569539,1.09994694480991,0
