"","x"
"1",16.1024
"2",15.3752
"3",15.3976
"4",14.0853
"5",14.0843
"6",14.1617
"7",15.89
"8",16.4135
"9",16.6245
"10",15.6632
"11",14.5451
"12",14.1045
"13",14.4399
"14",15.8295
"15",18.0105
"16",14.023
"17",13.5496
"18",14.4646
"19",14.7434
"20",16.3987
"21",17.0474
"22",14.8202
"23",15.0786
"24",15.7951
"25",14.7331
"26",13.6113
"27",14.2969
"28",15.0929
"29",14.3794
"30",14.4602
"31",14.911
"32",16.1567
"33",16.6483
"34",16.5721
"35",15.0416
"36",17.0215
"37",17.1866
"38",17.0189
"39",15.2
"40",17.3617
"41",13.8569
"42",16.4983
"43",14.2497
"44",17.1786
"45",16.055
"46",15.8297
"47",15.9891
"48",15.3651
"49",16.9079
"50",16.1503
"51",14.4434
"52",13.094
"53",13.7658
"54",13.3087
"55",12.506
"56",12.3553
"57",12.8213
"58",12.2955
"59",14.4872
"60",14.6553
"61",15.3435
"62",16.4425
"63",14.76
"64",14.9911
"65",15.167
"66",16.5851
"67",15.9374
"68",15.0586
"69",16.1031
"70",14.9552
"71",15.7329
"72",14.8056
"73",15.3995
"74",15.8422
"75",15.1929
"76",15.9105
"77",15.8269
"78",16.6399
"79",14.6008
"80",13.5212
"81",14.519
"82",14.5832
"83",15.7164
"84",15.3243
"85",15.1266
"86",15.3636
"87",15.1856
"88",15.6727
"89",15.6238
"90",14.3648
"91",13.5995
"92",13.3567
"93",12.8931
"94",11.9691
"95",11.7711
"96",12.0727
"97",11.9388
"98",11.3746
"99",11.7431
"100",11.6271
"101",11.9083
"102",12.2384
"103",11.9071
"104",11.8684
"105",12.1203
"106",12.6298
"107",12.3798
"108",12.4302
"109",12.0573
"110",11.8692
"111",12.0241
"112",11.9743
"113",11.7861
"114",12.3028
"115",11.843
"116",12.3389
"117",11.5126
"118",11.7361
"119",11.8712
"120",12.0573
"121",12.0866
"122",12.4987
"123",12.5941
"124",12.5423
"125",12.3842
"126",12.4733
"127",12.3595
"128",12.1338
"129",11.7204
"130",12.3013
"131",12.4998
"132",12.7045
"133",13.3734
"134",13.2375
"135",12.9871
"136",13.1263
"137",12.8752
"138",12.8974
"139",13.3728
"140",13.252
"141",13.5175
"142",13.2923
"143",12.9669
"144",13.15
"145",13.2573
"146",13.1171
"147",12.8228
"148",12.0156
"149",12.1501
"150",12.3238
"151",12.6467
"152",12.6721
"153",12.4497
"154",12.5952
"155",12.4609
"156",12.498
"157",12.4663
"158",12.6971
"159",11.9664
"160",11.8194
"161",11.693
"162",12.9016
"163",12.5754
"164",12.4664
"165",12.4024
"166",12.5969
"167",12.5038
"168",12.2325
"169",12.1827
"170",12.0307
"171",11.9901
"172",12.1505
"173",12.0206
"174",12.1918
"175",12.479
"176",12.3215
"177",12.3337
"178",11.9658
"179",11.791
"180",12.0421
"181",12.8547
"182",12.9278
"183",13.1899
"184",12.4274
"185",12.709
"186",12.6666
"187",12.6004
"188",12.6644
"189",12.7273
"190",12.2722
"191",12.0188
"192",12.3803
"193",12.4029
"194",11.8983
"195",11.8346
"196",11.5479
"197",11.5878
"198",12.1102
"199",12.1003
"200",12.1326
"201",12.2383
"202",12.536
"203",12.5919
"204",12.6492
"205",12.6116
"206",12.1901
"207",11.7495
"208",12.7867
"209",13.16
"210",13.1967
"211",13.0216
"212",12.3932
"213",12.2979
"214",12.1095
"215",12.6088
"216",13.5103
"217",13.2339
"218",14.5618
"219",14.406
"220",14.2056
"221",13.9533
"222",13.5682
"223",12.899
"224",13.4964
"225",13.4944
"226",13.4102
"227",13.576
"228",13.5815
"229",12.9427
"230",12.6741
"231",11.5056
"232",12.022
"233",11.602
"234",11.8996
"235",12.0072
"236",13.1569
"237",13.2178
"238",12.3951
"239",12.5867
"240",12.3313
"241",11.8968
"242",12.5009
"243",12.7297
"244",12.8774
"245",13.247
"246",13.0389
"247",13.0001
"248",11.9234
"249",12.6625
"250",12.4203
"251",12.6203
"252",12.2174
"253",12.0083
"254",11.5056
"255",12.3477
"256",12.9386
"257",12.5173
"258",12.438
"259",12.2011
"260",12.1658
"261",12.0835
"262",12.4243
"263",12.2429
"264",12.1846
"265",11.9199
"266",12.0297
"267",11.8966
"268",12.1163
"269",12.4003
"270",12.422
"271",12.3299
"272",11.6311
"273",11.6758
"274",11.5587
"275",11.5502
"276",10.8604
"277",10.6489
"278",12.4786
"279",13.3464
"280",12.2751
"281",12.0889
"282",12.1093
"283",11.2214
"284",11.1925
"285",11.6586
"286",11.8906
"287",12.4271
"288",12.8713
"289",11.8824
"290",11.3226
"291",11.7876
"292",12.8626
"293",12.4508
"294",12.6487
"295",12.7032
"296",12.9244
"297",12.8121
"298",12.9182
"299",12.7253
"300",12.8933
"301",12.7191
"302",12.5254
"303",12.6106
"304",12.7452
"305",12.4071
"306",11.6253
"307",12.5307
"308",13.6253
"309",12.9199
"310",12.6482
"311",12.7154
"312",13.0401
"313",13.2361
"314",12.3151
"315",12.2547
"316",12.0879
"317",12.2707
"318",12.0433
"319",11.9854
"320",11.9538
"321",11.4071
"322",12.3783
"323",12.5628
"324",12.9347
"325",12.6674
"326",12.1611
"327",12.0791
"328",13.0074
"329",13.156
"330",13.1025
"331",12.9849
"332",12.7787
"333",12.5036
"334",12.3903
"335",12.1632
"336",12.3091
"337",12.11
"338",12.0841
"339",12.0349
"340",11.769
"341",11.6283
"342",11.9666
"343",11.891
"344",11.8889
"345",11.7801
"346",12.3188
"347",12.2174
"348",13.1715
"349",13.4931
"350",13.1429
"351",12.9138
"352",12.7878
"353",12.9139
"354",12.4574
"355",12.2514
"356",12.2224
"357",12.2321
"358",11.6955
"359",12.4038
"360",12.7346
"361",13.0492
"362",11.8673
"363",11.9766
"364",11.821
"365",11.9869
"366",12.0118
"367",11.8586
"368",12.1401
"369",12.3355
"370",12.3648
"371",12.2247
"372",12.404
"373",12.4827
"374",12.5266
"375",12.0951
"376",11.9762
"377",12.5977
"378",12.8918
"379",12.9356
"380",12.9206
"381",12.8691
"382",12.7916
"383",12.8877
"384",12.8631
"385",12.8505
"386",12.6654
"387",12.6702
"388",12.7554
"389",12.6609
"390",12.6754
"391",12.6294
"392",12.7187
"393",12.8429
"394",13.0685
"395",12.9948
"396",12.0377
"397",12.0519
"398",12.5582
"399",12.052
"400",12.0777
"401",12.0557
"402",11.77
"403",12.2914
"404",12.6323
"405",12.957
"406",13.6818
"407",13.7905
"408",14.1958
"409",12.9461
"410",12.7658
"411",12.363
"412",12.3301
"413",12.1849
"414",12.264
"415",12.0932
"416",12.5088
"417",12.3873
"418",12.5011
"419",11.5219
"420",11.4636
"421",11.6007
"422",11.8978
"423",12.749
"424",12.6488
"425",11.6571
"426",11.802
"427",11.9321
"428",11.4046
"429",11.9919
"430",12.2983
"431",12.7281
"432",12.3524
"433",12.3134
"434",12.3518
"435",12.2768
"436",12.2359
"437",12.2334
"438",11.7729
"439",12.1266
"440",12.1468
"441",12.0428
"442",12.2397
"443",12.5839
"444",12.5637
"445",12.4587
"446",12.0999
"447",12.4766
"448",12.3375
"449",12.0232
"450",12.0956
"451",12.412
"452",12.2465
"453",11.7817
"454",11.7555
"455",12.0744
"456",12.0717
"457",12.1774
"458",12.7545
"459",12.3846
"460",12.5929
"461",12.3376
"462",12.5217
"463",12.4077
"464",11.6979
"465",11.6333
"466",11.5948
"467",11.2251
"468",12.0136
"469",12.1599
"470",12.2278
"471",11.2068
"472",11.3762
"473",12.0266
"474",12.7504
"475",13.6277
"476",13.3431
"477",14.5274
"478",14.2484
"479",13.5454
"480",12.875
"481",13.1297
"482",13.8832
"483",13.5838
"484",13.5874
"485",14.0401
"486",14.2053
"487",14.0301
"488",14.1011
"489",13.9132
"490",14.4575
"491",13.7314
"492",13.5025
"493",13.4503
"494",13.5396
"495",13.7438
"496",13.5429
"497",13.6245
"498",13.5678
"499",14.1833
"500",13.7464
"501",15.8336
"502",17.109
"503",16.8294
"504",16.6561
"505",14.6558
"506",15.2561
"507",14.0013
"508",14.6508
"509",15.105
"510",16.0771
"511",16.1357
"512",16.1592
"513",15.8586
"514",14.4047
"515",13.7391
"516",13.781
"517",13.9111
"518",13.4616
"519",13.0673
"520",12.5652
"521",12.6694
"522",12.1429
"523",12.1602
"524",12.0604
"525",12.6725
"526",13.184
"527",13.0557
"528",12.5963
"529",11.9931
"530",11.7967
"531",12.1405
"532",11.9909
"533",12.1681
"534",11.9649
"535",11.6809
"536",12.5409
"537",12.535
"538",13.6388
"539",13.4125
"540",14.5568
"541",14.8886
"542",14.4298
"543",14.0177
"544",14.8561
"545",15.089
"546",15.3392
"547",15.5439
"548",15.8755
"549",15.1127
"550",14.3381
"551",14.8474
"552",15.4836
"553",14.5842
"554",13.485
"555",13.5667
"556",15.3531
"557",16.0716
"558",15.9165
"559",16.5093
"560",16.966
"561",17.1998
"562",17.3196
"563",16.8669
"564",16.8043
"565",15.9079
"566",15.0392
"567",14.9761
"568",15.4856
"569",15.6836
"570",16.4532
"571",16.4142
"572",17.1152
"573",17.2492
"574",15.595
"575",15.6783
"576",15.3829
"577",14.2379
"578",14.1771
"579",14.2916
