"","beta[76]","beta[93]"
"1",7.2873,0
"2",7.67947,0
"3",7.56524,0
"4",7.66499,0
"5",7.911,0
"6",7.81099,0
"7",8.05861,0
"8",7.7217,0
"9",8.13778,0
"10",7.79344,0
"11",7.8929,0
"12",7.8402,0
"13",7.74699,0
"14",7.85463,0
"15",8.16538,0
"16",8.01753,0
"17",8.13065,0
"18",7.92256,0
"19",7.35861,0
"20",7.28756,0
"21",7.14796,0
"22",6.82464,0
"23",7.2389,0
"24",6.97917,0
"25",7.61738,0
"26",6.86697,0
"27",7.18356,0
"28",7.5822,0
"29",7.47677,0
"30",7.9474,0
"31",7.2422,0
"32",7.56872,0
"33",7.33597,0
"34",7.43957,0
"35",7.25227,0
"36",7.4237,0
"37",7.26786,0
"38",7.32365,0
"39",7.42589,0
"40",7.56257,0
"41",7.71494,0
"42",7.64281,0
"43",6.90986,0
"44",6.70726,0
"45",6.2797,0
"46",6.22201,0
"47",5.78177,0
"48",6.69034,0
"49",6.15012,0
"50",5.78178,0
"51",5.75275,0
"52",6.75345,0
"53",6.54115,0
"54",6.62155,0
"55",6.90059,0
"56",6.90519,0
"57",7.35437,0
"58",7.11865,0
"59",7.24822,0
"60",7.41263,0
"61",7.33611,0
"62",7.29442,0
"63",7.49495,0
"64",7.35543,0
"65",7.27822,0
"66",7.59064,0
"67",7.57724,0
"68",7.56859,0
"69",7.52693,0
"70",7.52975,0
"71",7.37799,0
"72",7.34326,0
"73",7.2204,0
"74",7.26506,0
"75",7.2025,0
"76",7.22563,0
"77",7.19021,0
"78",7.21836,0
"79",7.28532,0
"80",7.15303,0
"81",7.23236,0
"82",7.10285,0
"83",7.14885,0
"84",7.24245,0
"85",7.33966,0
"86",7.18834,0
"87",7.10751,0
"88",7.09229,0
"89",7.02488,0
"90",7.03998,0
"91",7.01019,0
"92",7.31328,0
"93",7.23902,0
"94",7.36688,0
"95",7.20769,0
"96",7.28259,0
"97",7.53131,0
"98",8.00397,0
"99",7.90041,0
"100",7.87392,0
"101",7.86626,0
"102",7.7713,0
"103",7.70095,0
"104",7.42411,0
"105",7.38764,0
"106",7.59035,0
"107",7.60964,0
"108",7.38346,0
"109",7.06135,0
"110",7.05399,0
"111",7.11907,0
"112",7.26603,0
"113",7.39437,0
"114",7.39301,0
"115",7.34021,0
"116",7.24262,0
"117",7.56596,0
"118",6.78662,0
"119",7.04827,0
"120",7.19882,0
"121",7.17158,0
"122",7.47304,0
"123",7.33215,0
"124",7.40216,0
"125",7.20523,0
"126",7.08266,0
"127",7.03682,0
"128",6.9504,0
"129",7.53596,0
"130",7.45282,0
"131",7.5069,0
"132",6.95087,0
"133",7.18821,0
"134",7.22655,0
"135",7.13885,0
"136",7.04671,0
"137",7.12269,0
"138",7.23409,0
"139",7.26959,0
"140",7.00608,0
"141",7.05584,0
"142",6.96468,0
"143",6.93836,0
"144",7.00842,0
"145",7.43081,0
"146",7.29503,0
"147",7.39873,0
"148",7.55898,0
"149",7.1626,0
"150",7.31365,0
"151",7.21318,0
"152",7.23236,0
"153",7.33847,0
"154",7.26905,0
"155",7.54704,0
"156",7.60919,0
"157",7.1013,0
"158",7.35925,0
"159",7.39156,0
"160",7.40278,0
"161",7.32992,0
"162",7.32687,0
"163",7.3572,0
"164",7.13493,0
"165",6.99744,0
"166",7.25856,0
"167",7.26147,0
"168",7.12978,0
"169",7.59459,0
"170",7.58399,0
"171",7.75151,0
"172",7.42333,0
"173",7.1556,0
"174",7.12423,0
"175",7.21013,0
"176",7.20951,0
"177",7.50054,0
"178",7.22043,0
"179",7.43613,0
"180",7.12276,0
"181",7.1411,0
"182",7.0687,0
"183",7.06076,0
"184",6.98799,0
"185",6.98909,0
"186",7.22755,0
"187",7.29475,0
"188",7.30911,0
"189",7.29775,0
"190",7.18772,0
"191",7.61088,0
"192",7.28021,0
"193",7.24541,0
"194",7.16344,0
"195",7.18948,0
"196",7.15742,0
"197",7.11887,0
"198",7.05227,0
"199",7.32657,0
"200",7.06117,0
"201",7.20471,0
"202",7.05506,0
"203",7.11653,0
"204",7.16656,0
"205",7.222,0
"206",7.20235,0
"207",7.2239,0
"208",7.37168,0
"209",7.05757,0
"210",7.13646,0
"211",7.35859,0
"212",7.28925,0
