"","sparse_dim","S_supported"
"1",6,1
"2",6,1
"3",5,1
"4",5,1
"5",6,1
"6",6,1
"7",5,1
"8",5,1
"9",5,1
"10",5,1
"11",5,1
"12",6,1
"13",6,1
"14",6,1
"15",6,1
"16",6,1
"17",6,1
"18",6,1
"19",6,1
"20",6,1
"21",6,1
"22",7,1
"23",6,1
"24",6,1
"25",6,1
"26",6,1
"27",6,1
"28",6,1
"29",6,1
"30",6,1
"31",6,1
"32",6,1
"33",6,1
"34",6,1
"35",6,1
"36",6,1
"37",7,1
"38",6,1
"39",7,1
"40",7,1
"41",7,1
"42",7,1
"43",6,1
"44",7,1
"45",8,1
"46",8,1
"47",7,1
"48",7,1
"49",8,1
"50",7,1
"51",6,1
"52",7,1
"53",6,1
"54",6,1
"55",6,1
"56",7,1
"57",6,1
"58",8,1
"59",6,1
"60",6,1
"61",6,1
"62",6,1
"63",7,1
"64",6,1
"65",6,1
"66",6,1
"67",6,1
"68",7,1
"69",6,1
"70",6,1
"71",6,1
"72",6,1
"73",7,1
"74",6,1
"75",6,1
"76",6,1
"77",6,1
"78",7,1
"79",6,1
"80",6,1
"81",6,1
"82",6,1
"83",6,1
"84",6,1
"85",6,1
"86",6,1
"87",6,1
"88",6,1
"89",7,1
"90",6,1
"91",7,1
"92",7,1
"93",6,1
"94",6,1
"95",7,1
"96",6,1
"97",6,1
"98",7,1
"99",6,1
"100",7,1
"101",6,1
"102",7,1
"103",6,1
"104",5,1
"105",5,1
"106",5,1
"107",5,1
"108",5,1
"109",6,1
"110",5,1
"111",5,1
"112",6,1
"113",5,1
"114",5,1
"115",5,1
"116",5,1
"117",5,1
"118",5,1
"119",6,1
"120",8,1
"121",7,1
"122",7,1
"123",6,1
"124",6,1
"125",7,1
"126",6,1
"127",7,1
"128",7,1
"129",5,1
"130",5,1
"131",5,1
"132",5,1
"133",5,1
"134",5,1
"135",5,1
"136",5,1
"137",5,1
"138",7,1
"139",5,1
"140",5,1
"141",6,1
"142",6,1
"143",7,1
"144",7,1
"145",8,1
"146",6,1
"147",6,1
"148",5,1
"149",5,1
"150",6,1
"151",6,1
"152",5,1
"153",6,1
"154",5,1
"155",5,1
"156",5,1
"157",6,1
"158",5,1
"159",5,1
"160",6,1
"161",5,1
"162",5,1
"163",6,1
"164",6,1
"165",5,1
"166",6,1
"167",5,1
"168",5,1
"169",5,1
"170",5,1
"171",5,1
"172",6,1
"173",5,1
"174",6,1
"175",5,1
"176",5,1
"177",5,1
"178",5,1
"179",5,1
"180",6,1
"181",5,1
"182",5,1
"183",5,1
"184",5,1
"185",5,1
"186",5,1
"187",5,1
"188",5,1
"189",5,1
"190",5,1
"191",5,1
"192",5,1
"193",5,1
"194",6,1
"195",7,1
"196",6,1
"197",6,1
"198",6,1
"199",6,1
"200",6,1
"201",6,1
"202",5,1
"203",5,1
"204",7,1
"205",5,1
"206",5,1
"207",6,1
"208",6,1
"209",6,1
"210",5,1
"211",6,1
"212",5,1
"213",5,1
"214",6,1
"215",8,1
"216",6,1
"217",7,1
"218",6,1
"219",5,1
"220",5,1
"221",5,1
"222",6,1
"223",5,1
"224",7,1
"225",5,1
"226",5,1
"227",5,1
"228",5,1
"229",5,1
"230",5,1
"231",5,1
"232",5,1
"233",6,1
"234",5,1
"235",5,1
"236",6,1
"237",5,1
"238",5,1
"239",5,1
"240",5,1
"241",6,1
"242",5,1
"243",6,1
"244",6,1
"245",8,1
"246",5,1
"247",5,1
"248",5,1
"249",5,1
"250",6,1
"251",7,1
"252",5,1
"253",6,1
"254",6,1
"255",6,1
"256",6,1
"257",7,1
"258",6,1
"259",6,1
"260",7,1
"261",6,1
"262",7,1
"263",6,1
"264",6,1
"265",7,1
"266",6,1
"267",6,1
"268",8,1
"269",9,1
"270",7,1
"271",7,1
"272",7,1
"273",7,1
"274",6,1
"275",6,1
"276",6,1
"277",7,1
"278",7,1
"279",6,1
"280",6,1
"281",7,1
"282",7,1
"283",6,1
"284",6,1
"285",6,1
"286",6,1
"287",6,1
"288",6,1
"289",6,1
"290",6,1
"291",6,1
"292",6,1
"293",7,1
"294",6,1
"295",6,1
"296",7,1
"297",6,1
"298",6,1
"299",6,1
"300",5,1
"301",5,1
"302",5,1
"303",6,1
"304",6,1
"305",6,1
"306",6,1
"307",5,1
"308",6,1
"309",5,1
"310",5,1
"311",5,1
"312",5,1
"313",5,1
"314",5,1
"315",5,1
"316",6,1
"317",5,1
"318",5,1
"319",6,1
"320",6,1
"321",6,1
"322",5,1
"323",6,1
"324",7,1
"325",7,1
"326",7,1
"327",6,1
"328",5,1
"329",6,1
"330",6,1
"331",6,1
"332",6,1
