"","TrueCoef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf","MCMC.mode"
"beta[1]",1.66589145358596,1.51624,1.663465,1.80809,1.663532376,0.0744230764417594,NA,0.000331762805078877,0.4,50322,-0.00426295174384797,1.00001429668441,1.66273487783482
"beta[2]",-6.10619206822093,-6.40374,-6.2376,-6.06592,-6.23916431,0.0860942292712486,NA,0.00039372294575625,0.5,47815,0.00111352610649525,1.00004458537815,-6.23955155885318
"beta[3]",10.0697770244898,9.91225,10.0895,10.271,10.09121678,0.0915114418658345,NA,0.000422173674878603,0.5,46986,-0.00460001143491719,1.00011100173226,10.0909299774227
"beta[4]",3.22535319952294,2.94932,3.10462,3.26733,3.104972373375,0.0810275395675782,NA,0.00036858591472877,0.5,48327,-0.00344931625883342,1.00008128154753,3.09498971115709
"beta[5]",-5.03333995888831,-5.20329,-5.03877,-4.87403,-5.03979849275,0.0840770861061044,NA,0.000388696052577067,0.5,46788,0.00782915959204452,1.00002020209998,-5.03872867618691
"beta[6]",0,0,0,0,9.5658105e-06,0.00147721956717673,NA,5.22275986625998e-06,0.4,80000,-4.63909142244629e-05,1.04394642013632,0
"beta[7]",0,0,0,0,-3.91715125e-06,0.00116327391086337,NA,4.11279435374435e-06,0.4,80000,-8.63891506257165e-06,1.18512873531256,0
"beta[8]",0,0,0,0,-2.64914175e-05,0.00205593381700946,NA,7.37667851429997e-06,0.4,77678,-0.000167163875328099,1.013680430189,0
"beta[9]",0,0,0,0,-1.00539125e-05,0.00132636693150638,NA,4.6894152580487e-06,0.4,80000,-6.17939940830685e-05,1.19019177693207,0
"beta[10]",0,0,0,0,1.19598425e-05,0.00179964779684597,NA,6.36271580448616e-06,0.4,80000,-8.3246158006112e-05,1.17357582900532,0
"beta[11]",0,0,0,0,-8.32903e-05,0.00411643698660795,NA,1.45538025377899e-05,0.4,80000,-0.000424353784743423,1.02393509588636,0
"beta[12]",0,0,0,0,-6.27012025e-05,0.00357061867718506,NA,1.26240433983442e-05,0.4,80000,-0.000305437702057499,1.04658819112584,0
"beta[13]",0,0,0,0,6.69735000000005e-08,0.0011399224497081,NA,4.03023447107671e-06,0.4,80000,-6.44682310316027e-05,1.15950385308751,0
"beta[14]",0,0,0,0,1.5763125e-06,0.000445848503207648,NA,3.15262499999998e-06,0.7,20000,-4.68104616932187e-05,1.29099175938538,0
"beta[15]",0,0,0,0,-2.02589275e-05,0.00184082750056697,NA,6.50830804322819e-06,0.4,80000,-0.000124755939409441,1.04198283869963,0
"beta[16]",0,0,0,0,-1.3729985e-05,0.00168242679839163,NA,5.94827698996266e-06,0.4,80000,-8.0550865193686e-05,1.05340402825445,0
"beta[17]",0,0,0,0,-1.287068125e-06,0.000507262359021836,NA,1.79344326952514e-06,0.4,80000,-7.87865355847867e-06,1.13830769032516,0
"beta[18]",0,0,0,0,4.17626475e-06,0.000744939772436025,NA,2.63375982332543e-06,0.4,80000,-5.29479356126286e-05,1.1416761823167,0
"beta[19]",0,0,0,0,-5.37160975e-06,0.000849660623581992,NA,3.00400394321043e-06,0.4,80000,-6.02472784175656e-05,1.13136709691141,0
"beta[20]",0,0,0,0,4.981647855e-05,0.00316044917421698,NA,1.11738752134215e-05,0.4,80000,-0.000281275196418553,1.01951334773365,0
"beta[21]",0,0,0,0,-1.448228125e-06,0.000443171262873403,NA,1.56684702602407e-06,0.4,80000,-2.70486146572668e-05,1.06056359785666,0
"beta[22]",0,0,0,0,-8.1875625e-07,0.00100457599971384,NA,3.55171250807475e-06,0.4,80000,-1.60264633535884e-05,1.07004969292262,0
"beta[23]",0,0,0,0,9.159862625e-06,0.00118240371197546,NA,4.18042841418854e-06,0.4,80000,-4.45492575854214e-05,1.10001405817469,0
"beta[24]",0,0,0,0,1.0006728125e-05,0.00115100671874433,NA,3.8927967403134e-06,0.3,87424,-7.67897395756683e-05,1.0883931489466,0
"beta[25]",0,0,0,0,-3.98844875e-06,0.000596946768832242,NA,2.4370249787366e-06,0.4,60000,-4.77459240986264e-05,1.08401429271532,0
"beta[26]",0,0,0,0,-1.065465e-05,0.00134462764219117,NA,4.75397661982114e-06,0.4,80000,-7.56768416482e-05,1.15975621862665,0
"beta[27]",0,0,0,0,-6.48338475e-06,0.00136027874421918,NA,4.49669460119381e-06,0.3,91510,-3.23293021377666e-05,1.01184420555208,0
"beta[28]",0,0,0,0,-1.64483975e-05,0.00204828877592939,NA,7.24179441643953e-06,0.4,80000,-8.30209304626017e-05,1.07138124492262,0
"beta[29]",0,0,0,0,-4.28288512499999e-07,0.00125155203965273,NA,4.42490467123147e-06,0.4,80000,-2.31842027691418e-05,1.11030051999838,0
"beta[30]",0,0,0,0,2.409433625e-05,0.00197719944527996,NA,7.26742971775574e-06,0.4,74018,-0.000172513434380349,1.00326591529637,0
"beta[31]",0,0,0,0,-1.555503125e-05,0.00152550479639716,NA,5.39347393132541e-06,0.4,80000,-0.000113830417308896,1.0527569861341,0
"beta[32]",0,0,0,0,1.51364345e-05,0.00178080777387431,NA,6.85676023984076e-06,0.4,67452,-8.06627187877587e-05,1.08331406414473,0
"beta[33]",0,0,0,0,8.5055964875e-05,0.00417103318379227,NA,1.54272696905667e-05,0.4,73099,-0.000421153375912562,1.00707006967265,0
"beta[34]",0,0,0,0,5.185176e-06,0.00110803871761022,NA,3.91750845519742e-06,0.4,80000,-4.70310272623605e-05,1.10087686428862,0
"beta[35]",0,0,0,0,-1.5596900625e-05,0.00144678075633068,NA,5.18151453920164e-06,0.4,77964,-0.000120756684771183,1.02948120431388,0
"beta[36]",0,0,0,0,-9.689665e-06,0.00120829189993204,NA,4.27195698047299e-06,0.4,80000,-9.21527960405577e-05,1.03389263421696,0
"beta[37]",0,0,0,0,-0.000178547819375,0.00605323993558911,NA,2.32953129146532e-05,0.4,67521,-0.000875415308714547,1.00408046913669,0
"beta[38]",0,0,0,0,-5.22960105e-05,0.00322012643159595,NA,1.21479834737502e-05,0.4,70265,-0.000224964482691134,1.00487803144002,0
"beta[39]",0,0,0,0,-9.73468024999999e-07,0.00109467787560371,NA,3.87027074527102e-06,0.4,80000,-2.3048646735781e-05,1.17991296437311,0
"beta[40]",0,0,0,0,1.1998025e-05,0.00172048722224618,NA,6.08284090897586e-06,0.4,80000,-6.8095259130732e-05,1.09241122281253,0
"beta[41]",0,0,0,0,1.181640025e-05,0.00194557321102402,NA,6.87864005405098e-06,0.4,80000,-4.89463092765031e-05,1.05797389762657,0
"beta[42]",0,0,0,0,6.50004625e-06,0.00105224359186934,NA,3.7202428963551e-06,0.4,80000,-6.26390255893168e-05,1.05916390318413,0
"beta[43]",0,0,0,0,-6.088293625e-05,0.00336930065695831,NA,1.23771670331196e-05,0.4,74103,-0.000307537425908207,1.02227249811641,0
"beta[44]",0,0,0,0,-8.06658125e-06,0.00146817864295652,NA,5.19079537214023e-06,0.4,80000,-3.2810993172062e-05,1.21051451858166,0
"beta[45]",0,0,0,0,-1.35721775e-06,0.00125356547189177,NA,4.43202322917941e-06,0.4,80000,-2.85382446804042e-05,1.14533924928831,0
"beta[46]",0,0,0,0,-6.4120865e-06,0.000855436457336396,NA,3.02442459928475e-06,0.4,80000,-2.39467464276576e-05,1.02273502214122,0
"beta[47]",0,0,0,0,-5.98870705e-05,0.0034455901339111,NA,1.2182000744391e-05,0.4,80000,-0.000328216948242873,1.05158921028383,0
"beta[48]",0,0,0,0,3.549217875e-06,0.000858546896467808,NA,2.98090016526457e-06,0.3,82953,-5.99996199197736e-05,1.02761355545879,0
"beta[49]",0,0,0,0,3.446524875e-06,0.00083346114226994,NA,3.4025908649979e-06,0.4,60000,NA,1.25703230439065,0
"beta[50]",0,0,0,0,3.434836e-06,0.00152063588807584,NA,5.37625974086958e-06,0.4,80000,-2.02609929564075e-05,1.14230607795226,0
"beta[51]",0,0,0,0,1.840769125e-05,0.00190063156016923,NA,6.71974732366338e-06,0.4,80000,-0.000129290714309482,1.1308420918175,0
