"","TrueCoef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf","MCMC.mode"
"beta[1]",-0.204237059224397,0,0,0,-1.72154575e-05,0.00189433608571424,NA,5.64284906260839e-06,0.3,112698,-0.000102075397982662,1.03711573047782,0
"beta[2]",2.77724407147616,2.50493,2.64987,2.79921,2.650557639125,0.0753082477724041,NA,0.000364151819468851,0.5,42768,-0.00449878506043262,1.0000711861622,2.65325536893157
"beta[3]",-0.91730713378638,-1.0962,-0.949685,-0.802488,-0.9494742360125,0.0751603208794374,NA,0.000347901990198673,0.5,46673,-0.0028238978928598,1.00003554896409,-0.951385445919999
"beta[4]",-0.902038507629186,-1.03438,-0.870691,-0.705598,-0.8707756528875,0.0837018904688879,NA,0.000376654105355707,0.4,49384,0.00368693689540398,1.0000742312636,-0.87850986281734
"beta[5]",-1.01035264553502,-1.03551,-0.8808955,-0.728039,-0.881505231625,0.0784197812349018,NA,0.000374199501368417,0.5,43918,-0.00320963046135351,0.999985584405935,-0.885004770409649
"beta[6]",0.124425399117172,0,0,0,1.20850475e-05,0.00140941729860684,NA,5.30535740072755e-06,0.4,70575,-6.8831390052077e-05,1.06749563575683,0
"beta[7]",13.8199269485878,13.7262,13.8761,14.0427,13.87794608625,0.080802543857364,NA,0.000372300857352237,0.5,47104,0.00281829217261075,1.00008240337815,13.8651396604529
"beta[8]",0,0,0,0,1.4793060125e-06,0.000971427284161816,NA,3.43451410030213e-06,0.4,80000,-3.32022415786102e-05,1.03900273303664,0
"beta[9]",0,0,0,0,-2.62068815e-05,0.00248790017587148,NA,8.79605542636938e-06,0.4,80000,-0.000109281984508758,1.12582279958518,0
"beta[10]",0,0,0,0,1.9575681075e-05,0.00191543621943791,NA,6.96997536314727e-06,0.4,75522,-9.09732564205057e-05,1.01440050342804,0
"beta[11]",0,0,0,0,3.347228e-05,0.0022368167664744,NA,7.88416883734064e-06,0.4,80491,-0.000222692283104054,1.03709422883332,0
"beta[12]",0,0,0,0,-4.99101e-06,0.0008457568910743,NA,3.09627469015543e-06,0.4,74613,-4.17572178029487e-05,1.11451419137117,0
"beta[13]",0,0,0,0,-1.01526125e-06,0.000581309771597813,NA,2.37318720484773e-06,0.4,60000,-2.44713270974122e-05,1.10328420769589,0
"beta[14]",0,0,0,0,-1.78941125e-06,0.000673413541623369,NA,2.38087640912391e-06,0.4,80000,-4.27517851784921e-05,1.18566145265025,0
