"","TrueCoef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf","MCMC.mode"
"beta[1]",24.2078934038494,23.6944,24.1971,25.0801,24.26639594875,0.35234800920107,NA,0.00885380361166688,2.5,1584,0.318520985670222,1.02283326012967,24.1167378103759
"beta[2]",4.16495996506369,2.78683,3.99195,4.62916,3.8862823005,0.468479712890393,NA,0.0188199069954875,4,620,0.481896266264991,1.03480964933762,4.07095063376577
"beta[3]",2.55838841432706,0,2.236735,2.94764,1.66439034553625,1.17258824563599,NA,0.117082327093775,10,100,0.913955100320407,1.08312153657109,2.41304187754898
"beta[4]",-12.7149762858855,-13.9899,-12.6954,-12.0547,-12.79650026,0.480057172223309,NA,0.0137790505812382,2.9,1214,0.463914834932181,1.03895693430625,-12.6343874627084
"beta[5]",1.26622482202947,0,1.26636,1.73931,0.94643881977725,0.690454860075863,NA,0.0733830547692196,10.6,89,0.922478952439752,1.07943905474715,1.39945384213794
"beta[6]",0,0,0,0,-0.00049302247,0.02104376458087,NA,9.82556231267641e-05,0.5,45870,0.132736440972513,1.17806842287952,0
"beta[7]",0,0,0,0,-0.00026831071875,0.0159066534932785,NA,6.51934001537792e-05,0.4,59532,-0.000347973356928641,1.02584728078282,0
"beta[8]",0,0,0,0,-4.4370748875e-05,0.0206253299192289,NA,8.35652267423272e-05,0.4,60919,-6.07958378571745e-05,1.14559429947035,0
"beta[9]",0,0,0,0,0.0001795561775,0.0173581460081894,NA,6.83100020825527e-05,0.4,64571,-0.000156636503579318,1.02097152331595,0
"beta[10]",0,0,0,0,-0.000114195512875,0.00967334128464153,NA,3.95295701046035e-05,0.4,59884,-0.000130155629565364,1.0556395308151,0
"beta[11]",0,0,0,0,3.0295568375e-05,0.00708086982096944,NA,2.61968196893937e-05,0.4,73059,-4.61037251537582e-05,1.09498626827223,0
"beta[12]",0,0,0,0,-0.00176692839825,0.0451385656806883,NA,0.000299641046787402,0.7,22693,0.019054782173897,1.0185022993991,0
"beta[13]",0,0,0,0,0.00053289121875,0.0246903287820721,NA,0.000101232303285061,0.4,59486,-0.000516776001512014,1.05421915254444,0
"beta[14]",0,0,0,0,3.4311999925e-05,0.00788389956676994,NA,2.78737942292894e-05,0.4,80000,-8.26323496345886e-05,1.0221492520325,0
"beta[15]",0,0,0,0,0.00031434460825,0.0156350595806409,NA,5.6231464593411e-05,0.4,77311,0.00632769904441778,1.0509099306948,0
"beta[16]",0,0,0,0,-0.000301921597,0.0232090871037677,NA,0.000117906140870542,0.5,38747,0.148908627344411,1.0240441199013,0
"beta[17]",0,0,0,0,-0.0001646353725,0.0117166631607473,NA,4.65941367588787e-05,0.4,63233,0.0282608482361363,1.04641640043013,0
"beta[18]",0,0,0,0,-0.001224502809225,0.0329853588066071,NA,0.000175718337357088,0.5,35238,-0.00157459158589025,1.00989236090208,0
"beta[19]",0,0,0,0,0.00030725700625,0.012934056557847,NA,5.20300013915794e-05,0.4,61796,-0.000617754386576773,1.08904553388762,0
"beta[20]",0,0,0,0,3.93886205000001e-05,0.0200234611837579,NA,8.70988210060995e-05,0.4,52851,0.144002229447956,1.02459502715978,0
"beta[21]",0,0,0,0,-0.0001392146169,0.0123500259845624,NA,4.83675874098493e-05,0.4,65197,0.000147598885169551,1.00873199282765,0
"beta[22]",0,0,0,0,0.000248618506625,0.0129876425059185,NA,4.9774859987227e-05,0.4,68083,-0.000348623357821889,1.03243163370813,0
"beta[23]",0,0,0,0,-5.725123875e-05,0.0142933116118988,NA,7.40296466272094e-05,0.5,37278,-9.29097308093473e-05,1.04551579469533,0
"beta[24]",0,0,0,0,0.00027980690305,0.0158789149073702,NA,6.81930830037578e-05,0.4,54220,-0.000325339087827567,1.13734535969427,0
"beta[25]",0,0,0,0,3.9453487375e-05,0.0105116767418341,NA,3.7509346181161e-05,0.4,78535,-7.49020102487264e-05,1.07655388309692,0
"beta[26]",0,0,0,0,0.000498587982,0.0296778346867711,NA,0.000156118186082984,0.5,36137,0.00298373174983873,1.04742562216628,0
"beta[27]",0,0,0,0,9.47426487500001e-06,0.00575046096850296,NA,1.99562451704047e-05,0.3,83032,-5.57884820414378e-05,1.03341534852392,0
"beta[28]",0,0,0,0,-2.994799925e-05,0.0151686288439025,NA,5.85818228439963e-05,0.4,67045,0.18363407132509,1.02313417909158,0
"beta[29]",0,0,0,0,-2.758173125e-05,0.0103613722659825,NA,3.71202647387551e-05,0.4,77913,-2.0971581277941e-05,1.00310559353286,0
"beta[30]",0,0,0,0,0.000161400260325,0.0129881826993153,NA,4.75741503284461e-05,0.4,74534,-0.000135482512701304,1.0953651605649,0
"beta[31]",0,0,0,0,6.8150096625e-05,0.0135881108274742,NA,4.86212410872669e-05,0.4,78103,-6.88842086456296e-05,1.01786142563439,0
"beta[32]",0,0,0,0,-0.002082300895,0.0495280596145691,NA,0.000259012692990222,0.5,36565,0.000879060586383311,1.05779192630971,0
"beta[33]",0,0,0,0,0.000260694749,0.0205048598568898,NA,9.06282915119115e-05,0.4,51190,0.00178911617409394,1.08672070971053,0
"beta[34]",0,0,0,0,0.00041979476875,0.0158224381610076,NA,6.42174326830946e-05,0.4,60707,-0.000669228510271883,1.0170660120148,0
"beta[35]",0,0,0,0,0.00436621115,0.0624397561532445,NA,0.000539896836227838,0.9,13375,0.150226300991226,1.05937528755923,0
"beta[36]",0,0,0,0,-0.00011474312,0.0164829379184788,NA,6.1398035481878e-05,0.4,72071,-9.31468473160414e-05,1.03208162207701,0
"beta[37]",0,0,0,0,0.00015743167875,0.0247314849243342,NA,0.000123421205028007,0.5,40153,0.0568889645902056,1.01750695410355,0
"beta[38]",0,0,0,0,-0.00070888033925,0.0275022541422185,NA,0.000127434177073891,0.5,46576,-0.000728521173880744,1.07987906773768,0
"beta[39]",0,0,0,0,0.000201547145,0.0238059539866431,NA,9.11692728844795e-05,0.4,68183,-0.000129812778969236,1.01827449143129,0
"beta[40]",0,0,0,0,-6.857718e-05,0.0120268903632602,NA,4.40021927161896e-05,0.4,74706,-0.000137691067293218,1.01971297202936,0
"beta[41]",0,0,0,0,-0.0003900147,0.0212513034788275,NA,8.62508225911744e-05,0.4,60708,-0.000322498697276491,1.0719860974749,0
"beta[42]",0,0,0,0,-4.58272229249999e-05,0.0131480786005302,NA,5.22117097043526e-05,0.4,63415,-4.96948822916453e-05,1.07293055151627,0
"beta[43]",0,0,0,0,-2.600991625e-05,0.00900195406070036,NA,3.39573363950568e-05,0.4,70276,-9.79879539381212e-05,1.04184048203027,0
"beta[44]",0,0,0,0,-0.00034169930125,0.0185698694928773,NA,8.1163616834239e-05,0.4,52347,-0.000362297937228754,1.05307158852216,0
"beta[45]",0,0,0,0,0.00549694902375,0.082827681989656,NA,0.000699501137743699,0.8,14021,0.0811468734851017,1.07843081848684,0
"beta[46]",0,0,0,0,-4.0014245e-06,0.00771081666454116,NA,2.8430604306425e-05,0.4,73558,-7.12266231953922e-05,1.09838189884109,0
"beta[47]",0,0,0,0,-0.002584140150875,0.0571067015049772,NA,0.000600802226963151,1.1,9035,0.222170763784383,1.03312308672971,0
"beta[48]",0,0,0,0,-0.0003646913555,0.0224309593491132,NA,0.000105801886178508,0.5,44948,0.0393587799561858,1.01868036518122,0
"beta[49]",0,0,0,0,0.00102372711675,0.0322937288784109,NA,0.000162308987551612,0.5,39587,0.177588710041074,1.18658628571795,0
"beta[50]",0,0,0,0,-3.3543555625e-05,0.0111749493400453,NA,4.44625301277716e-05,0.4,63169,-2.32798620306827e-05,1.06467677104256,0
