"","beta[115]","beta[161]"
"1",0,-2.93552
"2",0,-3.10898
"3",0,-3.20436
"4",0,-2.95912
"5",0,-3.19655
"6",0,-3.01789
"7",0,-2.99944
"8",0,-2.95251
"9",0,-3.02018
"10",0,-3.12707
"11",0,-2.82329
"12",0,-2.76534
"13",0,-3.09809
"14",0,-3.07991
"15",0,-3.06276
"16",0,-2.9298
"17",0,-2.98742
"18",0,-3.28115
"19",0,-3.1841
"20",0,-2.90672
"21",0,-3.21169
"22",0,-3.22728
"23",0,-3.01817
"24",0,-3.00909
"25",0,-3.07108
"26",0,-2.98644
"27",0,-2.93464
"28",0,-2.95981
"29",0,-2.89575
"30",0,-3.21581
"31",0,-2.84328
"32",0,-2.82772
"33",0,-2.88045
"34",0,-2.81414
"35",0,-3.05662
"36",0,-2.98904
"37",0,-2.99966
"38",0,-2.98564
"39",0,-3.21784
"40",0,-3.12545
"41",0,-3.02931
"42",0,-3.07724
"43",0,-2.94562
"44",0,-2.74241
"45",0,-2.81806
"46",0,-2.74472
"47",0,-2.72002
"48",0,-2.59495
"49",0,-2.73229
"50",0,-2.41892
"51",0,-2.6874
"52",0,-2.77403
"53",0,-3.34078
"54",0,-3.29776
"55",0,-3.20531
"56",0,-3.05756
"57",0,-2.98143
"58",0,-3.16409
"59",0,-3.25238
"60",0,-3.05195
"61",0,-2.85665
"62",0,-3.05791
"63",0,-2.86076
"64",0,-2.80646
"65",0,-3.04821
"66",0,-3.09361
"67",0,-3.10088
"68",0,-3.22362
"69",0,-3.33513
"70",0,-3.11753
"71",0,-3.11903
"72",0,-2.98121
"73",0,-2.83842
"74",0,-2.80058
"75",0,-2.85761
"76",0,-2.87454
"77",0,-3.03631
"78",0,-3.31288
"79",0,-3.34371
"80",0,-3.3967
"81",0,-3.15397
"82",0,-2.86524
"83",0,-2.78176
"84",0,-3.07466
"85",0,-2.98266
"86",0,-3.0942
"87",0,-3.16415
"88",0,-3.0549
"89",0,-2.97142
"90",0,-2.98511
"91",0,-2.82893
"92",0,-2.65923
"93",0,-2.56499
"94",0,-2.37716
"95",0,-2.44979
"96",0,-2.86874
"97",0,-3.02157
"98",0,-2.97419
"99",0,-3.02524
"100",0,-3.14195
"101",0,-2.94189
"102",0,-2.85825
"103",0,-2.9183
"104",0,-2.95269
"105",0,-2.8563
"106",0,-3.0378
"107",0,-3.04875
"108",0,-3.11232
"109",0,-3.25623
"110",0,-3.07039
"111",0,-3.09468
"112",0,-2.9484
"113",0,-2.98814
"114",0,-3.10535
"115",0,-3.08525
"116",0,-2.94909
"117",0,-3.23861
"118",0,-3.11304
"119",0,-3.13494
"120",0,-3.1167
"121",0,-3.09329
"122",0,-3.06747
"123",0,-3.09712
"124",0,-2.91652
"125",0,-2.92574
"126",0,-3.20153
"127",0,-3.03253
"128",0,-3.15459
"129",0,-3.08679
"130",0,-2.98469
"131",0,-3.03178
"132",0,-3.0284
"133",0,-3.09919
"134",0,-3.03221
"135",0,-2.99297
"136",0,-2.92646
"137",0,-2.81983
"138",0,-2.85495
"139",0,-2.92146
"140",0,-2.86591
"141",0,-2.82676
"142",0,-3.19422
"143",0,-3.2414
"144",0,-2.98921
"145",0,-2.97623
"146",0,-3.05624
"147",0,-3.1595
"148",0,-3.11837
"149",0,-3.05418
"150",0,-3.25691
"151",0,-3.0668
"152",0,-3.0004
"153",0,-3.00927
"154",0,-3.21206
"155",0,-3.27633
"156",0,-3.26589
"157",0,-3.30517
"158",0,-3.01267
"159",0,-3.1629
"160",0,-3.18273
"161",0,-3.18232
"162",0,-3.11594
"163",0,-3.33929
"164",0,-3.26346
"165",0,-2.99422
"166",0,-3.18153
"167",0,-3.2299
"168",0,-3.06187
"169",0,-3.00862
"170",0,-2.92124
"171",0,-3.15359
"172",0,-3.09773
"173",0,-2.92439
"174",0,-2.94428
"175",0,-2.81602
"176",0,-2.80969
"177",0,-2.7069
"178",0,-2.70871
"179",0,-2.65268
"180",0,-2.93762
"181",0,-3.24609
"182",0,-3.063
"183",-0.271031,-3.19474
"184",-0.474762,-3.36585
"185",-0.355566,-3.55787
"186",-0.269665,-3.16589
"187",0,-3.07373
"188",0,-3.13424
"189",0,-3.14582
"190",0,-3.10328
"191",0,-3.18375
"192",0,-3.07052
"193",0,-2.93498
"194",0,-3.12272
"195",0,-2.91021
"196",0,-2.99332
"197",0,-3.09141
"198",0,-3.06153
"199",0,-3.24443
"200",0,-3.3241
"201",0,-3.1695
"202",0,-2.89456
"203",0,-2.86266
"204",0,-2.89436
"205",0,-3.00885
"206",0,-3.02774
"207",0,-3.00434
"208",0,-3.22743
"209",0,-3.20572
"210",0,-3.13308
"211",0,-3.2241
"212",0,-3.04728
"213",0,-3.0717
"214",0,-3.11669
"215",0,-3.11073
"216",0,-3.14353
"217",0,-2.88341
"218",0,-2.95142
"219",0,-2.96309
"220",0,-2.94372
"221",0,-3.10104
"222",0,-2.95534
"223",0,-3.14934
"224",0,-3.28207
"225",0,-3.271
"226",0,-3.0648
"227",0,-3.10425
"228",0,-3.1853
"229",0,-2.97995
"230",0,-2.42977
"231",0,-2.61755
"232",0,-2.763
"233",0,-2.90627
"234",0,-3.47514
"235",0,-3.33828
"236",0,-2.81979
"237",0,-2.93538
"238",0,-3.02008
"239",0,-3.0756
"240",0,-2.81805
"241",0,-3.01843
"242",0,-3.37474
"243",0,-3.45884
"244",0,-3.33392
