"","TrueCoef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf","MCMC.mode"
"beta[1]",-2.12400735588744,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[2]",16.7013788587394,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[3]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[4]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[5]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[6]",0,-0.0979296,0,0.0115793,-0.00397949998082875,0.021655654909399,NA,0.0199976388439022,92.3,1,NA,1.37887964298313,0
"beta[7]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[8]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[9]",0,0,0,0.0472103,0.0047898265136175,0.0155415551381097,NA,0.0127325286678989,81.9,1,NA,1.59167517633903,0
"beta[10]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[11]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[12]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[13]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[14]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[15]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[16]",0,0,0,0,-1.0336603375e-08,7.92973900155694e-07,NA,2.03661854359025e-08,2.6,1516,NA,1.29136451680874,0
"beta[17]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[18]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[19]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[20]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[21]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[22]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[23]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[24]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[25]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[26]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[27]",0,0,0,0.0173955,0.00270377041703162,0.00562952673295167,NA,0.00597441771053276,106.1,1,NA,2.64708789158605,0
"beta[28]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[29]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[30]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[31]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[32]",0,-0.157728,0,0.0125428,-0.0166956261357637,0.0467681595075274,NA,0.043934796594617,93.9,1,NA,1.74480832643245,0
"beta[33]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[34]",0,0,0,0,0.00014911176869625,0.000980409415101963,NA,0.00041058216781267,41.9,6,NA,1.34934890544449,0
"beta[35]",0,-3.09801,0,0.493177,-0.841160193952475,1.17124384187352,NA,0.67335018093192,57.5,3,NA,1.88076797865856,0
"beta[36]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[37]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[38]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[39]",0,0,0,0,-9.70472392e-06,7.93948410849947e-05,NA,2.8512023236321e-06,3.6,775,NA,1.32791352600264,0
"beta[40]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[41]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[42]",0,0,0,0,1.786212375e-09,3.30229804081902e-07,NA,3.55547270962399e-09,1.1,8627,NA,1.29103142481551,0
"beta[43]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[44]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[45]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[46]",0,0,0,0,0.0061712910511875,0.0378353539796154,NA,0.0163656683268768,43.3,5,NA,1.35879087357214,0
"beta[47]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[48]",0,0,0,0.0944708,0.0126666357912871,0.0284584208879461,NA,0.0265201794178318,93.2,1,NA,2.25446950542598,0
"beta[49]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[50]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[51]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[52]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[53]",0,0,0,0.388476,0.0749969146875,0.136649566793808,NA,0.112105265717777,82,1,NA,4.97774397632839,0
"beta[54]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[55]",0,0,0,4.73492,0.959267726826438,1.6499357117345,NA,0.810997316573995,49.2,4,NA,4.56633349132943,0
"beta[56]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
