"","TrueCoef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf","MCMC.mode"
"beta[1]",2.84630368230864,0,0,2.85557,1.245417702366,1.39316172895065,NA,0.0117072042391312,0.8,14161,0.421775126795175,3.60231304475263,0
"beta[2]",0,-1.2156,0,0,-0.2800258138635,0.474380727286412,NA,0.00327254415658481,0.7,21013,0.442857170281304,6.1225623225522,0
"beta[3]",0,-0.440069,0,0,-0.0341963789980925,0.142011084377946,NA,0.000893347073678018,0.6,25270,0.470312549929689,1.45450357744287,0
"beta[4]",0,0,0,0.49616,0.0372806864523875,0.158132805178537,NA,0.000956202784428888,0.6,27349,0.451035934584687,1.43983965876943,0
"beta[5]",0,0,0,0.649772,0.04879276989325,0.187843927699741,NA,0.00129787491610159,0.7,20947,0.59531558884343,1.3226765642934,0
"beta[6]",0,-3.34389,0,0,-0.8120218205751,1.37876846474532,NA,0.0088340664194909,0.6,24359,0.479593550185274,18.4765380483852,0
"beta[7]",0,0,0,1.45114,0.100647119405875,0.393850745141533,NA,0.0181437916013539,4.6,471,0.693900208306493,1.49202031842732,0
"beta[8]",0,-1.10715,0,0,-0.09768855384775,0.366563078098051,NA,0.00242163970270144,0.7,22913,0.477650380303209,1.49402757137553,0
"beta[9]",0,-0.939049,0,0,-0.243061189733919,0.37521757467858,NA,0.00241833254442074,0.6,24073,0.560074404663808,2.20070860139361,0
"beta[10]",0,0,0,0,-2.84349704125e-05,0.00725299771687664,NA,4.61929923128667e-05,0.6,24654,0.415812850382822,1.13384971377932,0
"beta[11]",0,0,0,0,-0.0001365248266375,0.00564747798732293,NA,3.40353164937991e-05,0.6,27533,0.283205788336149,1.2458204562022,0
"beta[12]",0,-1.24466,-0.07505125,0,-0.4713030266625,0.507089568737389,NA,0.00398122206042719,0.8,16223,0.587200537901386,5.86011386481143,-0.703116332715321
"beta[13]",0,0,0,0,0.0050076277224875,0.0397046439717435,NA,0.000228282240660054,0.6,30251,0.467034302523592,1.25750241451139,0
"beta[14]",0,-1.1478,0,0,-0.088877346469725,0.331980079853214,NA,0.00230602331440909,0.7,20725,0.643603152228223,1.50217164948285,0
"beta[15]",0,-1.41661,0,0,-0.3097505961935,0.543283653943155,NA,0.00374338138001418,0.7,21063,0.543918646865165,4.32998377501437,0
"beta[16]",0,0,0,0,3.733602315e-05,0.00784557098610393,NA,4.52655464401284e-05,0.6,30041,0.477221740760222,1.22177071450423,0
"beta[17]",0,-2.17803,0,0,-0.707913798268625,0.877763181118813,NA,0.00593277851646778,0.7,21890,0.531848141385629,5.86294782887255,0
"beta[18]",0,-3.00896,-1.1089,0,-0.870555869945,0.909515160866246,NA,0.00639628709745283,0.7,20219,0.657729044945287,1.52867890257061,-1.26217077423136
"beta[19]",0,0,0,0,1.13859911125e-05,0.00368490205237094,NA,3.91662200207462e-05,1.1,8852,0.326773211500944,1.03766782840847,0
"beta[20]",0,0,0,0,1.36254514125e-05,0.00693501170938805,NA,3.38075082831825e-05,0.5,42079,0.342899416829013,1.23642299098059,0
"beta[21]",0,-1.13318,0,0,-0.32024956841425,0.473566824448041,NA,0.00325927286332518,0.7,21112,0.600075702972703,2.95432145811154,0
"beta[22]",0,-2.00755,0,0,-0.558846495553,0.840746073283163,NA,0.00587044027519607,0.7,20511,0.653279090388054,4.36403274083859,0
