"","TrueCoef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf","MCMC.mode"
"beta[1]",-5.28000080471343,0,0,0,-1.75516915e-06,0.00024057068401342,NA,9.71824515943426e-07,0.4,61279,-3.7845593694194e-05,1.10951682645362,0
"beta[2]",0,0,0,0,0.00034731236225,0.0354566387341372,NA,0.000388673430642689,1.1,8322,0.326676262420501,1.17879313764387,0
"beta[3]",0,0,0,0,-0.00241927079985,0.0321651929438407,NA,0.000199217739073902,0.6,26069,0.265581431319706,1.30160175591181,0
"beta[4]",0,0,0,0,-7.6218800625e-05,0.00308667570127289,NA,2.50388994723018e-05,0.8,15197,0.397432018786972,1.25124958058151,0
"beta[5]",0,0,0,0,-9.0634570375e-05,0.00420014378943619,NA,2.50094353019901e-05,0.6,28205,0.198574421406124,1.21271124241174,0
"beta[6]",0,0,0,0,0.0004024479126375,0.00692993310311843,NA,3.18266539048376e-05,0.5,47411,0.455774152418444,1.29864828155633,0
"beta[7]",0,0,0,0,-2.32871549875e-05,0.00118162598722265,NA,6.88895751091429e-06,0.6,29421,0.454117728992947,1.26640054403899,0
"beta[8]",0,0,0,3.56047,0.6032062129136,1.21434387012229,NA,0.0119528738867983,1,10321,0.497563468785489,2.91494528131765,0
"beta[9]",0,0,0,0,-4.2456929925e-05,0.00152068230772898,NA,6.57258290025879e-06,0.4,53531,0.181091893483539,1.2888237557363,0
"beta[10]",0,0,0,0,-7.4040203935e-05,0.00385489162121898,NA,2.94127997529939e-05,0.8,17177,0.0854082838969675,1.05063025875638,0
"beta[11]",0,0,0,0,0.009287501972575,0.0814965157367617,NA,0.00148502478838691,1.8,3012,0.711042513603629,1.15081312174913,0
"beta[12]",0,0,0,0,-2.6896855e-06,0.000355311193765534,NA,1.4668876963713e-06,0.4,58671,-6.85921663748086e-05,1.11800775994234,0
"beta[13]",0,0,0,0,0.0007988760778075,0.0131521065338864,NA,7.08847083767891e-05,0.5,34426,0.244209293451275,1.29949490802802,0
"beta[14]",0,0,0,0,0.000482523957125,0.0099585363232457,NA,6.26891500568642e-05,0.6,25235,0.35099068400208,1.27333514714905,0
"beta[15]",0,-0.464356,0,0,-0.044547460424325,0.191739454394014,NA,0.00179070962949766,0.9,11465,0.258916687434051,1.44030672918277,0
"beta[16]",0,-1.99613,0,0,-0.281342889706875,0.685537809106383,NA,0.00526479131119511,0.8,16955,0.501892138546668,1.97823661100081,0
"beta[17]",0,0,0,0,-1.834614425e-05,0.00450007200850444,NA,2.8439902353458e-05,0.6,25037,0.256201281757918,1.10059611688166,0
"beta[18]",0,0,0,0,2.73457075e-06,0.000541980235839167,NA,2.59143806696282e-06,0.5,43741,-0.000138532447133069,1.21399322230458,0
